GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "02020","Anchorage Municipality, AK",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",772088,875085,961774,1059486,1166585,1432398,1903515,2261543,2511117,2536417,2651534,2972612,3425984,4240113,4651869,5036908,5374258,5389320,5100893,5165878,5620741,5890733,6171845,6623275,6973469,7210036,7304833,7500798,8044896,8506148,8794958,9354101,10014711,10584708,11050510,11624250,12330981,13156187,14129252,15562438,15474668,16604267,17438447,17760535,17395186,18194339,18812630,18446135,18629102,19242734,19383968,19760423,20857669,21961067,23079288,24433471
 "02020","Anchorage Municipality, AK",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",123265,127569,134619,143203,147314,152386,165035,174496,177003,179642,178825,175808,180969,195216,211028,220254,226848,229965,225170,224371,225374,227614,235137,245623,250163,252278,251981,250710,252700,257232,259348,260816,264274,268229,270568,274484,276494,280085,278792,281554,287677,293848,297132,299597,302946,302141,300182,300291,297688,294298,292061,290905,288921,287520,287932,289600
 "02020","Anchorage Municipality, AK",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",6264,6860,7144,7398,7919,9400,11534,12960,14187,14119,14828,16908,18931,21720,22044,22869,23691,23435,22654,23024,24940,25880,26248,26965,27876,28580,28990,29918,31836,33068,33912,35865,37895,39461,40842,42349,44598,46972,50680,55273,53792,56506,58689,59281,57420,60218,62671,61428,62579,65385,66370,67927,72192,76381,80155,84370
 "02050","Bethel Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),74925,91896,106894,129894,142319,146343,156803,165552,166016,179639,190725,202670,211273,226745,255414,264238,274002,280436,295919,309835,313458,344889,393576,427091,454404,458095,466993,470832,487240,515504,541586,584253,637284,664529,657304,705761,719284,735652,760016,815785,826076,851504,873194,899885,889148,924730
 "02050","Bethel Census Area, AK*",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),11594,11052,11250,11997,12261,12769,12912,13135,13117,13608,13713,13717,13927,14150,14507,14785,15116,15261,15395,15587,15841,16080,16171,16414,16517,16603,16728,16755,16723,16762,16860,17085,17440,17695,17913,18036,18064,18130,18232,18415,18659,18670,18589,18272,18199,18237
 "02050","Bethel Census Area, AK*",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),6462,8315,9502,10827,11607,11461,12144,12604,12657,13201,13908,14775,15170,16024,17606,17872,18127,18376,19222,19878,19788,21448,24338,26020,27511,27591,27917,28101,29136,30754,32123,34197,36542,37555,36694,39131,39819,40577,41686,44300,44272,45608,46974,49249,48857,50706
 "02060","Bristol Bay Borough, AK",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",8741,11002,12032,11583,14741,15970,18993,22528,20791,22095,23101,25408,26280,29959,31146,31764,38239,41007,36333,41988,48133,48515,50506,51982,50624,48210,44460,42267,44619,43245,42980,46142,38629,39795,44706,45683,51491,53522,57890,54253,59520,70934,80989,89703,103026,107684,97323,104092,105817,121728,117728,118364,138208,138655,140292,140031
 "02060","Bristol Bay Borough, AK",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1139,1156,1178,1044,1079,1137,1195,1178,1175,1085,1092,1114,1195,1265,1289,1264,1428,1412,1435,1580,1571,1388,1430,1547,1676,1236,1144,1225,1303,1325,1313,1232,1196,1166,1140,1144,1171,1111,1076,1040,976,1002,1031,984,958,957,916,918,883,897,857,830,842,877,859,884
 "02060","Bristol Bay Borough, AK",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",7674,9517,10214,11095,13662,14046,15894,19124,17694,20364,21155,22808,21992,23683,24163,25130,26778,29042,25319,26575,30638,34953,35319,33602,30205,39005,38864,34504,34243,32638,32734,37453,32298,34130,39216,39933,43972,48175,53801,52166,60984,70792,78554,91162,107543,112522,106248,113390,119838,135706,137372,142607,164143,158101,163320,158406
 "02063","Chugach Census Area, AK*",8,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),435013,479716,483528,490305,491535
