event_time,beta,se,z,n,omitted,outcome,spec
-5,0.11024411213889096,0.29658734898745587,0.3717087479127565,1390,False,firearm_suicide_rate,unweighted
-4,0.15557916380987605,0.1376775610990356,1.1300255652986422,1390,False,firearm_suicide_rate,unweighted
-3,-0.03044278990107743,0.289863847646466,-0.10502444560870917,1390,False,firearm_suicide_rate,unweighted
-2,0.18304854634844367,0.24456071543155197,0.7484789453017264,1390,False,firearm_suicide_rate,unweighted
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,unweighted
0,-0.1586241897308207,0.28901732457463675,-0.5488397277370032,1390,False,firearm_suicide_rate,unweighted
1,0.16669799385446815,0.21838862055149993,0.7633089738535977,1390,False,firearm_suicide_rate,unweighted
2,-0.05703839788290884,0.293271638847161,-0.19448998923702437,1390,False,firearm_suicide_rate,unweighted
3,0.11734963844199922,0.3568149538483882,0.32888094284260705,1390,False,firearm_suicide_rate,unweighted
4,-0.780028789215998,0.2685820960073301,-2.9042471587335803,1390,False,firearm_suicide_rate,unweighted
5,-0.19053335004453467,0.4447061131626028,-0.42844778698796043,1390,False,firearm_suicide_rate,unweighted
-5,0.10868307034288252,0.2979613416169591,0.36475560807011953,1390,False,firearm_suicide_rate,ra
-4,0.1581059654574154,0.13977892365885666,1.131114486496459,1390,False,firearm_suicide_rate,ra
-3,-0.0413948290619063,0.2847732962721119,-0.14536064161841897,1390,False,firearm_suicide_rate,ra
-2,0.16627064981461864,0.23973763256334327,0.6935525642628791,1390,False,firearm_suicide_rate,ra
-1,0.0,0.0,0.0,0,True,firearm_suicide_rate,ra
0,-0.15690836724452115,0.2844678705068773,-0.551585551524448,1390,False,firearm_suicide_rate,ra
1,0.1709820135478659,0.21981505581387764,0.777844870155938,1390,False,firearm_suicide_rate,ra
2,-0.04865830944731608,0.29029164532251406,-0.16761870426293768,1390,False,firearm_suicide_rate,ra
3,0.14140733433979163,0.3601822219926861,0.3925994280269143,1390,False,firearm_suicide_rate,ra
4,-0.7640159151997986,0.2583427158098317,-2.9573735524333395,1390,False,firearm_suicide_rate,ra
5,-0.18190430492717755,0.4347221170353632,-0.41843811897056127,1390,False,firearm_suicide_rate,ra
-5,0.34071182749121526,0.3452906606354603,0.9867391920308,1390,False,firearm_suicide_rate,eb
-4,0.8860409919425385,0.2880962214409186,3.0755036893958136,1390,False,firearm_suicide_rate,eb
-3,0.0986409254959713,0.3218693001601498,0.30646267117395587,1390,False,firearm_suicide_rate,eb
