outcome,actual_post_effect,n_placebo,placebo_mean,placebo_sd,p_value_two_sided
firearm_suicide_rate,0.47028868841236715,10,-0.03554581751175113,0.6787524949008931,0.4
total_suicide_rate,-0.08628103829294768,10,0.10183836916705694,0.7479808887538965,0.8
firearm_homicide_rate,-0.3520137913457413,10,0.1312200716205903,1.1414470811748643,0.5
homicide_rate,-0.22004319769241162,10,0.2737798269024916,2.0210882041857268,0.8
motor_vehicle_theft_rate,-37.33548388473603,10,-85.7129294181951,149.90178580814032,0.9
