g_cohort,n_states,n_counties,state_fips,states
2015,3,203,"20,23,28","KS,ME,MS"
2016,2,99,"16,54","ID,WV"
2017,3,178,"29,33,38","MO,NH,ND"
2019,3,263,"21,40,46","KY,OK,SD"
2021,6,608,"05,19,30,47,48,49","AR,IA,MT,TN,TX,UT"
2022,3,339,"13,18,39","GA,IN,OH"
2023,3,227,"01,12,31","AL,FL,NE"
2024,2,110,"22,45","LA,SC"
