outcome,spec,control_rule,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
county_burglary_rate,or,broad,0.8511797397456795,4.0869513478949475,0.2082676467837313,-4.46982184012937,5.765071220406148,-0.7753281215864098,43,32
county_burglary_rate,or,strict,1.513768019565772,4.4270001335995,0.34193990826355797,1.0092326612587725,5.812865788038859,0.17362049943342436,43,32
county_burglary_rate,ra,broad,-4.012011697182349,2.865326566685374,-1.4001935220331507,4.562593750417493,2.8704410160273843,1.5895096693998625,43,32
county_burglary_rate,ra,strict,-7.003668366323913,3.3678768881254864,-2.079549995137161,8.954351897297315,3.243283819696928,2.7608906266285578,43,32
county_motor_vehicle_theft_rate,or,broad,-6.373459014529606,2.62043833470497,-2.43221102749101,-6.321607542987641,2.973789554332084,-2.1257750178652035,43,32
county_motor_vehicle_theft_rate,or,strict,-9.812449183191104,2.7420992874853996,-3.578444160637765,-0.2179643582344236,3.07553020023187,-0.07087049843242992,43,32
county_motor_vehicle_theft_rate,ra,broad,-6.9673857728243656,1.7600912832466131,-3.958536604972288,-7.112908786534506,2.5366473445348223,-2.804058988278046,43,32
county_motor_vehicle_theft_rate,ra,strict,-11.238855758958419,2.006844845712497,-5.600261416805368,-6.245928629998197,2.9084959960277215,-2.1474771285669894,43,32
county_murder_rate,or,broad,-0.07130237310452398,0.13569891197908265,-0.5254454296252198,-0.37064167127383824,0.33465804724649295,-1.1075235582213312,43,32
county_murder_rate,or,strict,-0.04226223361687646,0.10545136313578918,-0.4007746544011537,-0.3724341795149072,0.41633558671899934,-0.8945528352498897,43,32
county_murder_rate,ra,broad,-0.2867064341035558,0.11426086530205587,-2.5092268761104606,-0.6744275963372279,0.3020929144672907,-2.2325170966903034,43,32
county_murder_rate,ra,strict,0.08572979495509657,0.07882650824314824,1.0875757009387559,-0.7260844783877289,0.33773927272325255,-2.1498372769420007,43,32
county_property_crime_rate,or,broad,15.0096955600126,16.158502132623415,0.9289038944834239,-18.35543135954617,20.71440667629757,-0.8861190979971125,43,32
county_property_crime_rate,or,strict,12.472616850157369,16.142931980068767,0.7726363999772139,14.405517526224518,20.394110150605563,0.7063567578993769,43,32
county_property_crime_rate,ra,broad,6.845830196214412,8.941444216210746,0.7656291344750541,22.956455963636802,12.14349372958033,1.8904325620654938,43,32
county_property_crime_rate,ra,strict,-11.692309191352297,8.9991951999305,-1.299261648579708,40.28806162235061,12.786544795496708,3.1508169147101928,43,32
county_violent_crime_rate,or,broad,-11.473456859917155,3.4718618963978805,-3.3046985169027243,-10.773144139094981,4.862922938315764,-2.215363943814865,43,32
county_violent_crime_rate,or,strict,-16.227224232586714,3.0837960278403966,-5.262093888859034,-4.099275691932972,4.8693226608306635,-0.8418574774080942,43,32
county_violent_crime_rate,ra,broad,-10.826175455460461,2.0310933967145446,-5.3302203990090575,-2.5421528070365014,2.844955012174633,-0.8935652044259657,43,32
county_violent_crime_rate,ra,strict,-15.086797336910605,1.9131432889960462,-7.885868990412972,1.9489629573008727,3.1517821190711257,0.618368555842705,43,32
state_firearm_homicide_rate,or,broad,0.30579093541357993,0.13423170755012082,2.278082734657909,-0.2513810424005479,0.07959286596026661,-3.1583363580102684,35,32
state_firearm_homicide_rate,or,strict,0.21510064074464924,0.13563454945469755,1.585883844561991,-0.13706115514664835,0.07980717441401503,-1.7174039320778018,35,32
state_firearm_homicide_rate,ra,broad,0.13159346530868704,0.06674276116498033,1.9716515021517214,-0.17950649676641103,0.04227093533533844,-4.24657025784674,35,32
state_firearm_homicide_rate,ra,strict,0.17884444334800054,0.06238587027209747,2.866745988602326,-0.157194930539791,0.04053730324932689,-3.87778460675973,35,32
state_firearm_suicide_rate,or,broad,0.5762765848479616,0.06955458481702283,8.28524225058595,-0.21795876038595086,0.07141269320118904,-3.052101112779791,35,32
state_firearm_suicide_rate,or,strict,0.491022452046201,0.06966486461885792,7.048351485826095,-0.1602074613342192,0.07142889430160526,-2.242894320297756,35,32
state_firearm_suicide_rate,ra,broad,0.5026400036347337,0.037247195851472,13.494707242904287,-0.1228869896217895,0.042079578059489475,-2.9203474770602393,35,32
state_firearm_suicide_rate,ra,strict,0.4874175821607073,0.03631905055757692,13.420438438719641,-0.11096234171631225,0.040900213777801724,-2.7130015094575426,35,32
state_total_suicide_rate,or,broad,0.5519709035992325,0.09632676704361255,5.730192349851461,-0.39874658944619706,0.09981554871363016,-3.9948344179341952,35,32
state_total_suicide_rate,or,strict,0.5108397337855914,0.10008008221096013,5.104309693798868,-0.3469616347319732,0.10205191882828141,-3.3998541008894834,35,32
state_total_suicide_rate,ra,broad,0.4178128940744194,0.05120201507521198,8.160086931357743,-0.2985887578163635,0.05432466345816536,-5.496375657187502,35,32
state_total_suicide_rate,ra,strict,0.44911442571276255,0.051669892914396935,8.691994513261793,-0.297840373140167,0.053724974775163456,-5.543797356566759,35,32
