outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,0.4220551233134193,0.05110191682274663,8.259085951264218,-0.2201788261194123,0.14234406037231315,-1.5468072608264485,14,12
firearm_homicide_rate,or,strict,all,0.32708191096414396,0.051394877255886276,6.364095575822844,-0.17863645171486103,0.1428621336167187,-1.2504114784826073,14,12
firearm_homicide_rate,ra,broad,expanded,0.013294543877313963,0.0,,-0.04469205145962113,0.0,,14,12
firearm_homicide_rate,ra,broad,headline,0.6199452117024298,0.0,,0.14220057453649393,0.0,,14,12
firearm_homicide_rate,ra,broad,minimal,-0.04326354908261844,0.02270400506319201,-1.9055470152602192,-0.18531769554135413,0.0652200732421118,-2.8414211504089013,14,12
firearm_homicide_rate,ra,strict,expanded,0.06743629188311018,0.0,,-0.06933864918092078,0.0,,14,12
firearm_homicide_rate,ra,strict,headline,0.548199837691849,0.0,,-0.10420719795415087,0.0,,14,12
firearm_homicide_rate,ra,strict,minimal,-0.21039006244052222,0.02474166139957194,-8.503473515491656,-0.17182405013784371,0.07447737243217874,-2.307063803765522,14,12
firearm_suicide_rate,or,broad,all,-0.9457208596324249,0.019906165303828424,-47.50894234011714,-0.31481096047556245,0.06687614459595173,-4.707373045763454,14,12
firearm_suicide_rate,or,strict,all,-1.0201584232857295,0.02195834547071583,-46.45880194599529,-0.2700720242758218,0.07008853562904112,-3.8532981442961933,14,12
firearm_suicide_rate,ra,broad,expanded,-0.7155219757194087,0.0,,-0.18848063832834427,0.0,,14,12
firearm_suicide_rate,ra,broad,headline,-0.7693496161691726,0.0,,-0.31944432579755855,0.0,,14,12
firearm_suicide_rate,ra,broad,minimal,-0.11832442639398866,0.015891477303780932,-7.445778899727382,-0.7965556069316864,0.056021674732282555,-14.218703934473245,14,12
firearm_suicide_rate,ra,strict,expanded,-0.4048429545861189,0.0,,-0.31701111324133013,0.0,,14,12
firearm_suicide_rate,ra,strict,headline,-0.4203502655170219,0.0,,-0.3666953953966802,0.0,,14,12
firearm_suicide_rate,ra,strict,minimal,-0.20748728468998168,0.0330915709307821,-6.2700947357254355,-1.0437256227512575,0.08910949476533529,-11.712844130693913,14,12
homicide_rate,or,broad,all,0.3439858157269307,0.048989671707562694,7.021598711261184,-0.5104313185302898,0.1662522250882871,-3.0702224782809897,14,12
homicide_rate,or,strict,all,0.26642677994336444,0.05023078145697883,5.304054052425027,-0.4771411161020465,0.16758481182402926,-2.84716204833087,14,12
homicide_rate,ra,broad,expanded,0.20417283353227644,0.0,,0.18395396988246743,0.0,,14,12
homicide_rate,ra,broad,headline,1.4430349292697262,0.0,,0.6911481092203532,0.0,,14,12
homicide_rate,ra,broad,minimal,0.17300386556663855,0.02949924584895207,5.864687743289693,-0.7593016574266626,0.07344472373863922,-10.338409878546448,14,12
homicide_rate,ra,strict,expanded,0.04732045109189023,0.0,,0.14553402645753627,0.0,,14,12
homicide_rate,ra,strict,headline,0.852191946646012,0.0,,0.3526447205955179,0.0,,14,12
homicide_rate,ra,strict,minimal,-0.1697551619671123,0.038503065697271424,-4.408873914139836,-0.8719056539818211,0.09013387881074415,-9.673450931947334,14,12
motor_vehicle_theft_rate,or,broad,all,-22.365817161017283,1.4818277870897245,-15.093398406938523,-64.7180624470007,13.512843084857204,-4.78937423017405,14,12
motor_vehicle_theft_rate,or,strict,all,-25.118291778480675,1.6065161224251134,-15.635256582774534,-64.94125560126271,13.505580420287021,-4.8084757248724435,14,12
motor_vehicle_theft_rate,ra,broad,expanded,31.18589788079411,0.0,,1.5679039177937213,0.0,,14,12
motor_vehicle_theft_rate,ra,broad,headline,40.95917115548899,0.0,,30.266140888770487,0.0,,14,12
motor_vehicle_theft_rate,ra,broad,minimal,-4.763754485853939,2.5327070543158845,-1.8808943883724,-60.346746581451285,5.0188978179337385,-12.023904205783536,14,12
motor_vehicle_theft_rate,ra,strict,expanded,31.089766593256957,0.0,,-8.80634517412826,0.0,,14,12
motor_vehicle_theft_rate,ra,strict,headline,41.33570020710758,0.0,,12.894041652131904,0.0,,14,12
motor_vehicle_theft_rate,ra,strict,minimal,-3.551634309220581,3.107853551049615,-1.1427933301493851,-36.38826028940044,5.47528410702812,-6.6459127194317045,14,12
nonfirearm_suicide_rate,or,broad,all,-0.14820794049313737,0.01450143360101264,-10.220226811422835,0.14186019379336623,0.07275814895771988,1.949749901908608,14,12
nonfirearm_suicide_rate,or,strict,all,-0.15882959022956622,0.01555427414187588,-10.211314830947876,0.16958284302072252,0.07352223762026953,2.3065517115595755,14,12
nonfirearm_suicide_rate,ra,broad,expanded,0.9838326154673923,0.0,,1.253080311310448,0.0,,14,12
nonfirearm_suicide_rate,ra,broad,headline,0.8391018812176021,0.0,,1.185019886785735,0.0,,14,12
nonfirearm_suicide_rate,ra,broad,minimal,-0.14080761524552293,0.014948403776326887,-9.419575317366903,0.1309234135596707,0.05882311748476501,2.2257136166504505,14,12
nonfirearm_suicide_rate,ra,strict,expanded,0.9485659458008402,0.0,,1.048749413000898,0.0,,14,12
nonfirearm_suicide_rate,ra,strict,headline,0.8900579851372351,0.0,,1.0284919688005425,0.0,,14,12
nonfirearm_suicide_rate,ra,strict,minimal,-0.0742185533319923,0.02244873218402519,-3.3061356304480833,0.15958470384707152,0.067310850911501,2.3708614834908324,14,12
total_suicide_rate,or,broad,all,-1.0939288001255625,0.022661572022409784,-48.272414598766055,-0.17295076668219636,0.10940012194523041,-1.5809010411229858,14,12
