outcome,spec,control_rule,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
county_burglary_rate,or,broad,-15.96262832926047,2.208303341144587,-7.228458170509704,-19.917664282995553,3.1154240129992017,-6.393243487849003,51,28
county_burglary_rate,or,strict,-17.935456757119717,2.1747721005072975,-8.24705115213498,-20.073472115744867,3.1805884750273594,-6.31124468737572,51,28
county_burglary_rate,ra,broad,-5.807173769063619,1.2607276992328975,-4.60620780569591,-35.41550044293589,1.919621583538588,-18.449209337213087,51,28
county_burglary_rate,ra,strict,-5.628843567061636,1.2875230507474813,-4.371839062449226,-39.01135527002115,1.9394741520685268,-20.114398136429905,51,28
county_motor_vehicle_theft_rate,or,broad,11.035834569623105,0.9833903909595455,11.22223144651115,22.392890807566786,0.9859761739938542,22.711391409044705,51,28
county_motor_vehicle_theft_rate,or,strict,9.324754611859031,0.88273759363904,10.56345020202234,22.92815478957053,0.9615964341209512,23.843843400407817,51,28
county_motor_vehicle_theft_rate,ra,broad,11.461325342922843,0.697061096763663,16.442354043477454,26.614165583322723,0.5797268063643047,45.9081161870548,51,28
county_motor_vehicle_theft_rate,ra,strict,7.854705600911171,0.6598929262467413,11.903000151230911,26.963731126080752,0.571845343367516,47.152139015935965,51,28
county_murder_rate,or,broad,-0.3114389086592479,0.08412184378452411,-3.7022358836664404,-0.5595771270576212,0.16882537317749094,-3.3145321495562268,51,28
county_murder_rate,or,strict,-0.3394745793547652,0.08567250992803237,-3.962468003329594,-0.5591444642217186,0.17394516607437144,-3.2144869376976684,51,28
county_murder_rate,ra,broad,-1.0367528005464814,0.062287125703297704,-16.644736594284556,-0.7064859185802148,0.07886820870685816,-8.957803532803968,51,28
county_murder_rate,ra,strict,-1.1605238602456656,0.06859275590663133,-16.919044072604024,-0.7178331620873197,0.08738971034437766,-8.214161132455366,51,28
county_property_crime_rate,or,broad,-0.23569621320678502,9.972468900713917,-0.02363469022098548,-21.14210965237155,8.776982286724417,-2.4088130705641215,51,28
county_property_crime_rate,or,strict,-6.535297947987778,9.763644159189871,-0.6693502796122015,-21.676076296728823,8.873237296024525,-2.442859981490673,51,28
county_property_crime_rate,ra,broad,39.85235927971539,5.399694567679072,7.38048398482749,-78.17429611548778,5.9241541660349215,-13.195857826200088,51,28
county_property_crime_rate,ra,strict,38.99620657451585,5.467151787497374,7.132819444247885,-90.34548512968527,6.107390194701697,-14.792813665002456,51,28
county_violent_crime_rate,or,broad,-3.0614912863024815,1.9189213986430707,-1.595422974837509,-13.358527705645578,2.0974367000485596,-6.3689777647813175,51,28
county_violent_crime_rate,or,strict,-3.5571253992817873,1.8619877908725735,-1.9103913660007568,-13.442794645513906,2.1213229932613937,-6.33698625254917,51,28
county_violent_crime_rate,ra,broad,-12.094872153230211,1.2207148916425916,-9.908023762170522,-23.020669857278254,1.4851631852587044,-15.500431256157366,51,28
county_violent_crime_rate,ra,strict,-12.355553237957528,1.2375567576130415,-9.983827539181727,-23.65076710010126,1.5441712917967898,-15.316155160857413,51,28
state_firearm_homicide_rate,or,broad,-0.33866815557066887,0.04457791461197957,-7.5972184548906085,0.022235198939483926,0.03221558611395989,0.6902000435698673,44,28
state_firearm_homicide_rate,or,strict,-0.3606267348514091,0.045712679393526884,-7.888987030204041,0.03577280876873334,0.032846273337054324,1.0890979442826942,44,28
state_firearm_homicide_rate,ra,broad,-0.40089671205429295,0.02369549842665672,-16.918686614470886,-0.07494804255092168,0.014682880283775965,-5.104450972997203,44,28
state_firearm_homicide_rate,ra,strict,-0.4741164459187026,0.024552429125649953,-19.31036817140804,-0.05227409529312473,0.0153162623422477,-3.4129798853689115,44,28
state_firearm_suicide_rate,or,broad,-0.3032151530494649,0.03125566499139621,-9.70112628008175,0.09593655355778406,0.03792295659763176,2.5297751590332274,44,28
state_firearm_suicide_rate,or,strict,-0.3228741076264808,0.03163435452224491,-10.206438933326092,0.10456031200519607,0.03886716210427398,2.6901967199117482,44,28
state_firearm_suicide_rate,ra,broad,-0.23648135164606762,0.017137020738637466,-13.79944362866365,0.07024484764598081,0.020339583826110064,3.453602996331076,44,28
state_firearm_suicide_rate,ra,strict,-0.27107972197340446,0.017541874181034305,-15.453293027633666,0.09238060167241681,0.020601663138785004,4.484133200804536,44,28
state_total_suicide_rate,or,broad,-0.4390817849404935,0.057275831098448415,-7.666091901587231,0.22830274540318268,0.05548715327760639,4.114515377297641,44,28
state_total_suicide_rate,or,strict,-0.4648115652817464,0.057677359139411584,-8.058821905459528,0.23759578706744927,0.0565884405725549,4.198662918848518,44,28
state_total_suicide_rate,ra,broad,-0.4487771973747729,0.031670559150354605,-14.17016969117036,0.07016469111918072,0.031956637950809046,2.195621805622527,44,28
state_total_suicide_rate,ra,strict,-0.4983463666460033,0.03212314115895054,-15.513625027518454,0.0925138067963583,0.03139866962077799,2.946424415865618,44,28
