outcome,actual_post_effect,n_placebo,placebo_mean,placebo_sd,p_value_two_sided,pre_rmse
firearm_homicide_rate,0.01190767948667417,39,0.0388243941657181,0.8724587911726853,1.0,0.34251368687346895
homicide_rate,-0.04704786175338233,41,0.10254691248112707,1.1295468564139528,0.975609756097561,0.4247661723063127
motor_vehicle_theft_rate,-38.125758779157394,41,-17.996008830056194,93.0260226238067,0.6829268292682927,13.877866519957738
