year	state	division	total_population	fss	homicide_rate	firearm_homicide_rate	nonfirearm_homicide_rate	firearm_suicides	total_suicides	firearm_homicides	nonfirearm_homicides	total_homicides	nextyearfss
2006	"Alabama"	"East South Central"	4599030	0.689655172	9.675953408	7.240657269	2.435296139	400	580	333	112	445	0.668918919
2006	"Alaska"	"Pacific"	670053	0.585185185	6.417402802	4.178773918	2.238628885	79	135	28	15	43	0.630872483
2006	"Arizona"	"Mountain"	6166318	0.575076609	8.903206095	6.276030526	2.627175569	563	979	387	162	549	0.543307087
2006	"Arkansas"	"West South Central"	2810872	0.656914894	8.324818775	5.514303035	2.81051574	247	376	155	79	234	0.606965174
2006	"California"	"Pacific"	36457549	0.395620876	7.175468653	5.164911113	2.010557539	1319	3334	1883	733	2616	0.394780677
2006	"Colorado"	"Mountain"	4753377	0.508219178	3.807819157	2.18791819	1.619900967	371	730	104	77	181	0.488286067
2006	"Connecticut"	"New England"	3504809	0.270547945	3.766253739	2.624964727	1.141289012	79	292	92	40	132	0.287822878
2006	"Delaware"	"South Atlantic"	853476	0.461538462	5.858395549	3.983708974	1.874686576	42	91	34	16	50	0.484210526
2006	"District of Columbia"	"South Atlantic"	581530	0.333333333	25.7940261	20.63522088	5.158805221	10	30	120	30	150	0.277777778
2006	"Florida"	"South Atlantic"	18089889	0.502868852	6.710931173	4.438943766	2.271987407	1227	2440	803	411	1214	0.496327793
2006	"Georgia"	"South Atlantic"	9363941	0.650054171	7.336654513	5.286235785	2.050418729	600	923	495	192	687	0.642928786
2006	"Hawaii"	"Pacific"	1285498	0.175	2.17814419	0.700117775	1.478026415	21	120	9	19	28	0.203007519
2006	"Idaho"	"Mountain"	1466465	0.653153153	2.59126539	1.636588667	0.954676723	145	222	24	14	38	0.659192825
2006	"Illinois"	"East North Central"	12831970	0.368316832	6.74097586	4.870647297	1.870328562	372	1010	625	240	865	0.381768953
2006	"Indiana"	"East North Central"	6313520	0.536407767	5.939634309	4.181502553	1.758131755	442	824	264	111	375	0.496202532
2006	"Iowa"	"West North Central"	2982085	0.446107784	2.447951685	1.274276219	1.173675465	149	334	38	35	73	0.413043478
