outcome,spec,control_rule,tier,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
firearm_homicide_rate,or,broad,all,0.2862326494282107,0.11478925278055835,2.4935491999011377,-0.10459458132809524,0.0767583499734359,-1.3626475994376213,62,36
firearm_homicide_rate,or,strict,all,-0.011342936839256185,0.1172105773107519,-0.096774003673606,0.07105316750859086,0.07993844740111596,0.888848480532272,62,36
firearm_homicide_rate,ra,broad,expanded,0.4577951873945579,0.16389471396558408,2.7932272879202764,-0.009087125432539755,0.11126015261061864,-0.08167457278566129,62,36
firearm_homicide_rate,ra,broad,headline,1.548781959666186,0.12457137462142187,12.432888088238615,-0.7380943336288719,0.09993496699897546,-7.385746508891517,62,36
firearm_homicide_rate,ra,broad,minimal,-0.10188560938786516,0.06242069844550795,-1.6322407779017294,0.20666407447264618,0.052587214542295535,3.9299300461413047,62,36
firearm_homicide_rate,ra,strict,expanded,0.14362873375734264,0.1658908698616131,0.8658025235334431,0.07425573025956436,0.11239629534116664,0.6606599446553753,62,36
firearm_homicide_rate,ra,strict,headline,0.14362873375734264,0.1658908698616131,0.8658025235334431,0.07425573025956436,0.11239629534116664,0.6606599446553753,62,36
firearm_homicide_rate,ra,strict,minimal,0.30896916071547115,0.13838902646501233,2.23261315299147,0.5778034198318023,0.15406604767756155,3.75036179964234,62,36
firearm_suicide_rate,or,broad,all,0.8551731107363548,0.06259783688185706,13.66138437579482,-0.2797320054929157,0.07801788287837745,-3.5854857267658957,62,36
firearm_suicide_rate,or,strict,all,0.5944048635840132,0.06423617421417811,9.253428786124953,-0.11556079119413047,0.08073340538344612,-1.4313875482555267,62,36
firearm_suicide_rate,ra,broad,expanded,0.9521892433483117,0.05961037466416247,15.973549045997931,0.41019339098403435,0.08491949607034785,4.830379476630756,62,36
firearm_suicide_rate,ra,broad,headline,1.0053981279905675,0.05670828988453366,17.729297251560656,0.6085819532015829,0.08630033775300398,7.051906968700121,62,36
firearm_suicide_rate,ra,broad,minimal,0.629822724146048,0.04038611919844425,15.595029595473237,0.04163792684906115,0.05235813935117073,0.7952522256337615,62,36
