county_fips,state_fips,lat,lon,nearest_other_state_fips,distance_to_nearest_other_state_km,nearest_other_state_county_fips
35033,35,36.00418,-105.23707,08,144.41273005882096,08023
35035,35,32.778517,-106.000317,48,115.89610177582534,48141
35037,35,35.178327,-103.662364,48,104.85773572429498,48369
35039,35,36.203984,-106.205155,08,112.39915599908016,08021
35041,35,34.168551,-103.347539,48,55.780196230352786,48017
35043,35,35.319674,-106.649224,08,217.18106039850537,08007
35045,35,36.723982,-108.220154,08,70.70341671856161,08067
35047,35,35.576344,-105.307874,08,190.46893599291298,08021
35049,35,35.632632,-106.004765,08,174.2473261182638,08021
35051,35,33.106952,-107.281723,48,170.47696433408342,48141
35053,35,34.154884,-106.960356,04,249.57658732856467,04011
35055,35,36.435099,-105.60791,08,91.47330622743266,08021
35057,35,34.870562,-106.1027,08,259.1862965852842,08021
35059,35,36.468186,-103.265891,48,74.40538538083159,48111
35061,35,34.755709,-106.722815,04,260.310406511364,04001
36001,36,42.680589,-73.811637,25,54.58328592947872,25003
36003,36,42.228676,-78.020786,42,45.622782399295794,42105
36005,36,40.849395,-73.882271,34,16.483067811416777,34003
36007,36,42.120758,-75.936264,42,35.86392168058169,42115
36009,36,42.223696,-78.608393,42,39.91208173976652,42083
36011,36,42.938915,-76.560652,42,122.90205693833502,42015
36013,36,42.245031,-79.314802,42,44.09611225100911,42123
36015,36,42.120553,-76.813813,42,39.681261892526415,42015
36017,36,42.480979,-75.568857,42,74.99531235574479,42115
36019,36,44.72994,-73.542837,50,20.63514618278083,50013
36021,36,42.274439,-73.680411,25,43.04359946364625,25003
36023,36,42.595471,-76.146202,42,90.32912748875296,42015
36025,36,42.248721,-74.996335,42,79.46233367217336,42115
36027,36,41.678068,-73.84154,09,54.3269692939512,09005
36029,36,42.891147,-78.792727,42,115.36548174412778,42083
36031,36,44.168428,-73.676357,50,42.519734106455964,50001
36033,36,44.717734,-74.351416,50,83.57655173802276,50013
36035,36,43.058597,-74.329857,50,96.42347556786456,50003
36037,36,42.998899,-78.171041,42,130.51680738797785,42083
36039,36,42.298257,-73.978824,25,64.91019817386696,25003
36041,36,43.612735,-74.385492,50,108.23076137376576,50021
36043,36,43.071299,-74.994925,50,150.4207371586081,50003
36045,36,44.019862,-75.89504,50,218.22596175619142,50001
36047,36,40.651666,-73.954985,34,13.440941429256078,34017
36049,36,43.788692,-75.449227,50,185.38440912703922,50001
36051,36,42.769037,-77.762787,42,106.12409611256777,42105
36053,36,42.98686,-75.719961,42,129.46830324278812,42115
36055,36,43.160725,-77.618985,42,150.97083130433214,42105
