state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44,homicide,homicide_rate,robbery,robbery_rate,rape,rape_rate,aggravated_assault,aggravated_assault_rate,burglary,burglary_rate,larceny,larceny_rate,motor_vehicle_theft,motor_vehicle_theft_rate,ownership_fss,firearm_suicide_rate,total_suicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,homicide_rate_kalesan,firearm_suicides,total_suicides,ownership_rand,ownership_rand_se
Alabama,AL,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4048508.0,28630.0,707.1740996930226,169974.0,4198.4355718205325,6.825,15860.0,38078.343695388736,15.213858976146865,10.547400992565146,23128.25,55528.717060080366,0.17975,0.7326313792636695,0.2519160144922524,0.0061244784498388,0.157,0.4790782184449185,0.1552981987438335,0.3068303187248241,467,11.55772663724355,5805,143.667244388006,1319,32.64377180840309,21039,520.6916717793727,44585,1103.4287839860892,111336,2755.4412267326506,14053,347.796000927588,0.842412451,10.716264740741877,12.720923964760567,9.429323017,4.157811724,13.58713474,433.0,514.0,0.641,0.031
Alabama,AL,1991,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4091025.0,34518.0,843.7494270995655,184882.0,4519.209733501995,7.266666666666667,16585.0,38208.20632190943,15.224306107868175,10.550805596703915,24054.5,55416.29779742963,0.1825,0.7318212428425639,0.2525626218368257,0.0061896468488948,0.1603,0.4790391161139323,0.1535947592595987,0.3084153726755519,469,11.469797016385424,6246,152.75128393250182,1455,35.58327219369039,26348,644.3629249205185,51873,1268.5986793837124,118151,2889.4839814135485,14858,363.36512594766447,0.786641929,10.389003749180732,13.206775992472677,10.36450138,4.018388243,14.38288962,424.0,539.0,0.632,0.031
Alabama,AL,1992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4139269.0,36052.0,870.9750441442679,181837.0,4392.973735217499,7.533333333333334,17574.0,39291.54776504128,15.23602976016286,10.578764705134748,24980.75,55851.390225990384,0.18525,0.7304154429199938,0.2537936046195596,0.0063931578256933,0.1636,0.4793269053062268,0.1529163724319439,0.3059047382520923,455,11.000967117988395,6819,164.86943907156675,1704,41.19922630560928,27074,654.5938104448743,49053,1186.0009671179885,117801,2848.18665377176,14983,362.25822050290134,0.757170172,9.607244211489798,12.688355360124154,9.388897752,3.760411244,13.149309,396.0,523.0,0.552,0.047
Alabama,AL,1993,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4193114.0,32676.0,779.2776442519807,171598.0,4092.376214908538,7.25,18116.0,39335.2205387322,15.248954213954068,10.579875593426976,25907.0,56251.7972232797,0.188,0.7289506080683712,0.2547987009177427,0.0067465372990097,0.1669,0.4795233327784553,0.1521039017780103,0.3047892330139367,484,11.559589204681156,6677,159.46978743730594,1471,35.132553140673515,24044,574.2536422259375,45578,1088.559828039169,111878,2672.0324814903274,14142,337.7597325053738,0.778584392,10.306205039330665,13.237107171727729,9.897800644,4.035996379,13.93379702,429.0,551.0,0.6,0.031
Alabama,AL,1994,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4232965.0,28844.0,681.4136190589811,178015.0,4205.444646955503,6.166666666666667,18963.0,40132.62495867769,15.25841325110129,10.59994487250169,26632.0,56363.02630910216,0.182,0.727233983744255,0.2559971556580316,0.0072462210294675,0.1702,0.4795574733077169,0.1507047660446046,0.3039056547833492,501,11.874851860630482,7223,171.20170656553685,1487,35.245318795923204,19633,465.3472386821521,44064,1044.41810855653,119951,2843.114482104764,14000,331.832187722209,0.75,9.4927850313388,12.657046708451734,10.27790259,3.949379236,14.22728183,399.0,532.0,0.571,0.036
Alabama,AL,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4262731.0,26894.0,630.9100902684218,179294.0,4206.082907882294,5.8500000000000005,19874.0,40912.85594006344,15.26542059265388,10.619199618803696,27357.0,56317.44993218856,0.176,0.7256763328485893,0.2569364569333603,0.0077513687821258,0.1735,0.479660105223623,0.1490532712479394,0.302914258488279,475,11.168586879849519,7900,185.7512344227604,1350,31.742299553256522,17169,403.6915118739713,43586,1024.8295320949917,120967,2844.274629673172,14741,346.60239830707735,0.763765542,10.13232462507159,13.266276195151873,9.425418256,2.992570296,12.41798855,430.0,563.0,0.554,0.047
Alabama,AL,1996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4290403.0,24159.0,563.0939564418541,181803.0,4237.434105840407,5.191666666666666,20599.0,41195.57053710886,15.27189122588611,10.626086018322647,29618.0,59232.50682887957,0.1669999999999999,0.7247435730396422,0.257240636835281,0.0083649484675448,0.1768,0.4796563399755221,0.1467323698962545,0.3038127187585875,444,10.390826117481863,7124,166.721273110227,1397,32.69365785162649,15194,355.5815586239176,42821,1002.1296512988532,123350,2886.7306342148377,15632,365.83196817224433,0.779727096,9.335989858127498,11.973406993048515,8.915870315,3.360956349,12.27682666,400.0,513.0,0.568,0.031
Alabama,AL,1997,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4320281.0,24379.0,564.2919985991651,186809.0,4324.001147147605,4.95,21487.0,41989.92373254426,15.278831004401171,10.645184957352328,30790.0,60169.85859938743,0.162,0.7229015890401573,0.2583912944551523,0.009105889177116,0.1801,0.4797282861924953,0.1450780632093144,0.3022928369705581,426,9.863394304237092,6931,160.47696225978237,1396,32.32229682796944,15626,361.7967122018986,43786,1013.7994906228292,127616,2954.758045843945,15407,356.7260940032415,0.763671875,9.040157048105266,11.837750405703058,8.577744923,3.306246695,11.88399162,391.0,512.0,0.557,0.029
Alabama,AL,1998,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4351037.0,22286.0,512.1997353734293,177779.0,4085.899522343754,4.458333333333333,22651.0,43590.26945350443,15.285924765458892,10.682589226757369,33204.0,63898.78181688054,0.157,0.7219003193951236,0.2588576010730316,0.0097813463778864,0.1834,0.4798752573237139,0.1442143562557615,0.3012546204502513,354,8.134191176470589,5698,130.92830882352942,1443,33.15716911764706,14791,339.86672794117646,41965,964.2693014705883,120943,2779.021139705882,14871,341.7049632352941,0.76801406,10.009626191082527,13.033128839189834,7.467135328,2.908976033,10.37611136,437.0,569.0,0.577,0.036
Alabama,AL,1999,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4369862.0,21421.0,490.1985463156502,171398.0,3922.274891060633,4.733333333333333,23296.0,43869.40964882441,15.290241987625778,10.688972537238724,33840.0,63725.13832916458,0.153,0.7206518192107668,0.2595393172599043,0.0103776732537549,0.1867,0.4799508542832703,0.1429633246999562,0.2991826744185514,345,7.894986157457604,5297,121.21664253928385,1513,34.62351900357494,14266,326.46339861533386,38648,884.4215217780333,119616,2737.294678870866,13134,300.5586904117338,0.783783784,9.871895252065455,12.595176700911097,6.649345538,3.290631751,9.939977288,435.0,555.0,0.537,0.036
