state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,nics_total,nics_handgun,nics_long_gun,nics_multiple,nics_permit,nics_permit_recheck,nics_other,nics_total_per_100k,acs_dataset,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44,homicide,homicide_rate,robbery,robbery_rate,rape,rape_rate,aggravated_assault,aggravated_assault_rate,burglary,burglary_rate,larceny,larceny_rate,motor_vehicle_theft,motor_vehicle_theft_rate,ownership_fss,firearm_suicide_rate,total_suicide_rate,firearm_homicide_rate,nonfirearm_homicide_rate,homicide_rate_kalesan,firearm_suicides,total_suicides,ownership_rand,ownership_rand_se
Rhode Island,RI,2019,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,29,1058158.0,2357.0,222.7455635169795,16312.0,1541.546725536262,3.525,55123.0,67638.60476473444,13.872040218624807,11.12193417543038,24338.0,11698.0,7885.0,2165.0,0.0,0.0,1110.0,2300.034588407402,acs1,71169.0,87327.82799378454,0.1082323927483786,0.7080466432122761,0.0577716189287693,0.1629689973484015,0.3484494318242671,0.4882386646289602,0.1913993435665462,0.3666616007196791,26,2.4570999793981616,421,39.78611889717793,498,47.062914990010945,1412,133.43942965039247,2321,219.34342508396665,12628,1193.394559224615,1363,128.80874122768057,0.268292683,3.1150854146981053,11.610772909329302,1.132758333,1.038361805,2.171120138,33.0,123.0,,
Rhode Island,RI,2020,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,29,1096487.0,2440.0,222.52885807127672,13166.0,1200.7438300682088,9.258333333333333,59250.0,71802.98824731536,13.907621990864646,11.181681373213657,51369.0,22876.0,14992.0,4808.0,0.0,0.0,1616.0,4684.870864862055,acs5,70305.0,85200.15339624483,0.1158129373035943,0.7144161739765059,0.0554737293887869,0.1588271106581786,0.3502218865074119,0.4864104488758723,0.1922711141446665,0.3698399883531638,32,3.0270781601040557,336,31.784320681092584,407,38.500650348823456,1665,157.50266051791417,1763,166.77308738323282,9894,935.9347286271727,1509,142.74565448740688,0.319148936,2.8378857750975524,8.892042095305664,2.081116235,0.662173348,2.743289583,30.0,94.0,,
Rhode Island,RI,2021,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,30,1097381.0,2199.0,200.38619221583025,13474.0,1227.8324483474746,5.55,62898.0,72815.21386753499,13.908436989806685,11.195680194048052,37936.0,18046.0,11250.0,4307.0,0.0,0.0,1325.0,3456.957975397788,acs1,74008.0,85676.94279481906,0.1141108516278534,0.6887067478391034,0.0451374120353045,0.1713903670101587,0.3650150491813452,0.4897627805514736,0.1853789213314957,0.3672492949133359,37,3.3728811241721623,277,25.251028956640244,461,42.02427562819911,1424,129.8103438059773,1507,137.37653659803917,10315,940.3045620496177,1652,150.59458424682197,0.30769,3.2809415573171377,10.663060061280696,2.46071,1.18478,3.64549,36.0,117.0,,
Rhode Island,RI,2022,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,37,1098275.0,1897.0,172.72541030251986,14074.0,1281.4641141790537,3.225,64075.0,68688.97981983286,13.909251325066307,11.137344055151688,27900.0,14729.0,8906.0,2302.0,0.0,0.0,1241.0,2540.347362910018,acs1,81854.0,87748.22870343502,0.1081828234426833,0.6819071181841289,0.0469273150510087,0.1755262248407748,0.3963191555800568,0.4899189382427537,0.1866733593359994,0.3639806388024876,18,1.6457383605154452,269,24.594645498814156,424,38.76628138103049,1186,108.43587197618433,1405,128.45902202912225,10918,998.231745561535,1751,160.0937705145858,0.18254,2.0918637414529178,11.459775279263809,1.27331,0.7276,2.00091,23.0,126.0,,
Rhode Island,RI,2023,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,38,1101183.0,1848.0,167.81951773683394,12303.0,1117.2529906473312,2.975,67105.0,69086.01318059444,13.911895614427104,11.143107575093506,25178.0,13194.0,8243.0,1654.0,0.0,0.0,1327.0,2286.450117737016,acs1,84972.0,87480.4666117498,0.1084112220377656,0.6767971882236793,0.0485363543626512,0.1801202961416545,0.3904662851417622,0.4886109189917169,0.1831897456298667,0.3668430109803077,29,2.628170910860599,242,21.931633118216034,405,36.703766168915266,1172,106.21435543202145,1299,117.7239314899282,9464,857.6899827718864,1540,139.56493802501112,0.33929,3.4438101590587156,10.1501773109099,1.63128,1.08752,2.7188,38.0,112.0,,
Rhode Island,RI,2024,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,39,1110415.0,1708.0,153.81636595326972,11483.0,1034.1178748485927,4.25,69936.0,69936.0,13.92024437728897,11.155335817103095,24444.0,13188.0,7769.0,1760.0,137.0,0.0,1020.0,2201.339138970565,acs1,83504.0,83504.0,0.1216622528981983,0.6613006469431129,0.0476585621968016,0.1878760199513084,0.3900309884953643,0.4921038057804133,0.1823901293526613,0.3631503144812408,23,2.0677725953602777,247,22.206079611042984,328,29.488235272963966,1110,99.79250351521343,1012,90.98199419585224,9126,820.4562045764302,1345,120.91974525041626,,,,,,,,,,
South Carolina,SC,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4528996.0,32746.0,723.0300048840846,189950.0,4194.0862831409,6.916666666666667,33110.0,48252.456331679095,15.326010839340787,10.784202013899924,184941.0,70257.0,65954.0,2537.0,31913.0,0.0,0.0,4083.48781937542,acs1,44625.0,65033.70171552944,0.156607176354064,0.6506424393946159,0.2791604535916782,0.04067011920175,0.2366123271504147,0.4864603330505826,0.1811496048930755,0.3888108844144828,307,6.8529845082369745,6595,147.21639358899952,1686,37.6356087325327,24158,539.2651457654359,45964,1026.0279476762355,126316,2819.6794499754456,17670,394.4372516630206,0.607079646,7.6565918121344705,12.612170186169024,5.558283852,2.343854636,7.902138488,343.0,565.0,0.42,0.035
South Carolina,SC,2009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4589872.0,30799.0,671.0208912143955,178310.0,3884.857791241237,10.966666666666669,31973.0,46745.215037735325,15.339362694937646,10.752467177344492,214584.0,78235.0,64021.0,2746.0,53242.0,0.0,348.0,4675.16305465599,acs1,42442.0,62051.11865109819,0.170650455448091,0.6477667705418831,0.2778153406462538,0.0446867322540658,0.2433193026406825,0.4865229689632779,0.1859679885434712,0.3819674553553615,305,6.686775224818152,5753,126.12792743730765,1663,36.459367865156025,23078,505.95868406017485,45443,996.2856607915126,119250,2614.419493637917,13617,298.53710897163535,0.60904685,8.26529265493916,13.570865128401431,5.152105501,2.455471558,7.607577059,377.0,619.0,0.409,0.032
South Carolina,SC,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4635846.0,27923.0,602.3280324669973,181098.0,3906.47144016432,11.083333333333334,32749.0,47108.77587952832,15.34932926459841,10.760214587054394,201628.0,70314.0,61328.0,2288.0,48351.0,0.0,883.0,4349.324805008622,acs1,42018.0,60442.04540309693,0.1815263698397704,0.6403820536667938,0.27924975713455,0.0498243000039686,0.2454142443444271,0.4859541376852981,0.1843120135141897,0.382667301078961,265,5.714771238785571,5017,108.19248039617814,1551,33.44758562776007,21090,454.8095299093875,46261,997.6265368960726,121544,2621.1175677243523,13293,286.6658644421758,0.615384615,8.47500866958795,13.77188908808042,4.950961697,2.010652567,6.961614264,392.0,637.0,0.418,0.028
South Carolina,SC,2011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4672655.0,27894.0,596.9625405684777,183243.0,3921.603456707161,10.358333333333333,34406.0,47985.75122301114,15.35723799058134,10.778659396300888,229419.0,81206.0,70232.0,2748.0,52126.0,0.0,1449.0,4909.82107602637,acs1,42367.0,59088.88920726946,0.1888236515098832,0.6390711719663278,0.2770517798868617,0.0515059101604323,0.240690338501581,0.4860376600423574,0.1841747466997775,0.3794030214372877,320,6.847339423471138,4631,99.09384021904638,1678,35.90573610182678,21265,455.02710262535555,47351,1013.2136532524435,122255,2616.0046288014505,13637,291.8036491183623,0.647416413,9.104061993105704,14.062142702966085,5.406872498,2.179845829,7.586718328,426.0,658.0,0.466,0.032
