state,state_abbr,year,share_white_nh,share_black_nh,share_hispanic,share_male,share_age_15_24,share_age_25_44,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,income_interpolated,poverty_interpolated,share_bachelors_plus,education_source,education_interpolated,controls_source
Alabama,AL,1990,0.7326313792636695,0.2519160144922524,0.006124478449838805,0.4790782184449185,0.15529819874383352,0.3068303187248241,23128.25,55528.717060080366,0.17975,True,True,0.157,stat_abstract_229_anchor,False,historical_demographic_mix
Alabama,AL,1991,0.7318212428425639,0.2525626218368257,0.006189646848894837,0.47903911611393235,0.15359475925959876,0.30841537267555197,24054.5,55416.29779742963,0.1825,True,True,0.1602,interpolated,True,historical_demographic_mix
Alabama,AL,1992,0.7304154429199938,0.25379360461955963,0.006393157825693377,0.4793269053062268,0.1529163724319439,0.30590473825209236,24980.75,55851.390225990384,0.18525,True,True,0.16340000000000002,interpolated,True,historical_demographic_mix
Alabama,AL,1993,0.7289506080683712,0.25479870091774276,0.006746537299009757,0.4795233327784553,0.15210390177801034,0.3047892330139367,25907.0,56251.7972232797,0.188,False,False,0.1666,interpolated,True,historical_demographic_mix
Alabama,AL,1994,0.727233983744255,0.25599715565803166,0.0072462210294675245,0.4795574733077169,0.15070476604460467,0.30390565478334924,26632.0,56363.026309102155,0.182,True,True,0.1698,interpolated,True,historical_demographic_mix
Alabama,AL,1995,0.7256763328485893,0.2569364569333603,0.007751368782125825,0.47966010522362307,0.1490532712479394,0.302914258488279,27357.0,56317.44993218856,0.17600000000000002,False,False,0.17300000000000001,cps_state_table,False,historical_demographic_mix
Alabama,AL,1996,0.7247435730396422,0.257240636835281,0.00836494846754489,0.4796563399755221,0.1467323698962545,0.3038127187585875,29618.0,59232.50682887957,0.16699999999999998,False,False,0.18,cps_state_table,False,historical_demographic_mix
Alabama,AL,1997,0.7229015890401573,0.25839129445515235,0.009105889177116026,0.47972828619249536,0.1450780632093144,0.30229283697055814,30790.0,60169.85859938743,0.162,False,False,0.193,cps_state_table,False,historical_demographic_mix
Alabama,AL,1998,0.7219003193951236,0.2588576010730316,0.009781346377886467,0.4798752573237139,0.14421435625576157,0.3012546204502513,33204.0,63898.78181688054,0.157,False,False,0.20600000000000002,cps_state_table,False,historical_demographic_mix
Alabama,AL,1999,0.7206518192107668,0.2595393172599043,0.010377673253754924,0.4799508542832703,0.1429633246999562,0.29918267441855145,33840.0,63725.13832916458,0.153,False,False,0.218,cps_state_table,False,historical_demographic_mix
Alabama,AL,2000,0.7032583864104113,0.2592237543329965,0.017298519172547877,0.48276156384758634,0.1425780175208825,0.2884818267394371,34923.0,63622.59734501282,0.146,False,False,0.204,cps_state_table,False,historical_demographic_mix
Alabama,AL,2001,0.7002451409403725,0.2595890800365473,0.019187337190110024,0.4830606088144194,0.14338842438749458,0.2835845550463624,34761.0,61592.630575664865,0.157,False,False,0.20199999999999999,cps_state_table,False,historical_demographic_mix
Alabama,AL,2002,0.6974082434523065,0.25973903643432084,0.021021680596077445,0.4834098161889195,0.14364915518419388,0.2789694579728215,35943.0,62686.73019551519,0.154,False,False,0.22699999999999998,cps_state_table,False,historical_demographic_mix
