state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Alabama,AL,1999,historical_mix,33840,63725.13832916458,0.153,0.7206518192107668,0.2595393172599043,0.010377673253754924,0.218,0.4799508542832703,0.1429633246999562,0.29918267441855145
Alabama,AL,2000,historical_mix,34923,63622.59734501282,0.146,0.7032583864104113,0.2592237543329965,0.017298519172547877,0.204,0.48276156384758634,0.1425780175208825,0.2884818267394371
Alabama,AL,2001,historical_mix,34761,61592.630575664865,0.157,0.7002451409403725,0.2595890800365473,0.019187337190110024,0.20199999999999999,0.4830606088144194,0.14338842438749458,0.2835845550463624
Alabama,AL,2002,historical_mix,35943,62686.73019551519,0.154,0.6974082434523065,0.25973903643432084,0.021021680596077445,0.22699999999999998,0.4834098161889195,0.14364915518419388,0.2789694579728215
Alabama,AL,2003,historical_mix,36131,61599.067716485515,0.153,0.6945047741851821,0.25979623363297494,0.0229759535435954,0.22699999999999998,0.4839405696602924,0.144030042471496,0.274999994448751
Alabama,AL,2004,historical_mix,37062,61544.5663399356,0.161,0.6913379723218934,0.25990011761904097,0.025003481779642966,0.223,0.48399981548223253,0.14387176986308384,0.27182623370322967
Alaska,AK,1999,historical_mix,49133,92523.85406403201,0.08800000000000001,0.7194527845036319,0.036245359160613395,0.04002421307506053,0.255,0.5247409200968522,0.16893301049233253,0.2883486682808717
Alaska,AK,2000,historical_mix,51433,93700.45669747858,0.085,0.6789747166632429,0.0337822451322769,0.04134479260720775,0.281,0.5171483033236035,0.14404829583908607,0.3231066161541365
Alaska,AK,2001,historical_mix,52332,92726.4907018122,0.087,0.6742110794459331,0.03396642649523286,0.04416661143670489,0.257,0.5177966716847032,0.14987833628419128,0.31269310761636954
Alaska,AK,2002,historical_mix,51844,90419.02012231282,0.09300000000000001,0.6698337477056436,0.03427172963724649,0.04661571729481565,0.256,0.5179586416476086,0.15402662465341402,0.30268846415510864
Alaska,AK,2003,historical_mix,52391,89320.4383143116,0.098,0.6656256650843443,0.03359890440366803,0.048452069202700745,0.24,0.517231275080427,0.15701234088098037,0.29421480720650695
Alaska,AK,2004,historical_mix,52141,86584.5133433323,0.1,0.6624150975449198,0.033210169789742235,0.049870617607532995,0.255,0.517952754950052,0.1600398006328058,0.287984273896306
Arizona,AZ,1999,historical_mix,38642,72767.93130365183,0.128,0.6758331149865685,0.030553967367692326,0.22690972498352982,0.242,0.4948312507377051,0.14002061807341976,0.2856498878688212
Arizona,AZ,2000,historical_mix,40437,73667.98295794414,0.125,0.6402300048870418,0.02962221732183128,0.2537287432086201,0.24600000000000002,0.49916947416436813,0.1429455879622973,0.29345620826782076
Arizona,AZ,2001,historical_mix,41403,73361.5167493528,0.132,0.6336379204839615,0.03014235200039746,0.2592058332671215,0.244,0.49906371071685723,0.1441187664229881,0.2894594970263452
Arizona,AZ,2002,historical_mix,40724,71025.07861008155,0.136,0.6271302968447562,0.03067108578078686,0.264338323522517,0.263,0.498871532201499,0.14465235612475688,0.2860102052256611
Arizona,AZ,2003,historical_mix,41963,71541.93569474638,0.139,0.621323564105747,0.03114476648003653,0.268749578067801,0.26,0.49838576907079096,0.14452366486134127,0.282110764370557
