state,state_abbr,year,population,violent_crime,violent_rate,property_crime,property_rate
Nevada,NV,1990,1218629.0,7222.0,592.6331968137964,65652.0,5387.36563794231
Nevada,NV,1991,1285046.0,8693.0,676.4738382906138,72183.0,5617.153004639523
Nevada,NV,1992,1330694.0,9247.0,694.900555649909,73077.0,5491.645712688267
Nevada,NV,1993,1380197.0,12157.0,880.8162892688508,73685.0,5338.73063048246
Nevada,NV,1994,1456388.0,14597.0,1002.2741192594281,82693.0,5677.951205310673
Nevada,NV,1995,1525777.0,14461.0,947.7793937121874,86203.0,5649.777129947562
Nevada,NV,1996,1596476.0,13005.0,814.6066711933032,83047.0,5201.89467301732
Nevada,NV,1997,1675581.0,13395.0,799.4241997253491,88307.0,5270.231639055349
Nevada,NV,1998,1743772.0,11244.0,644.8090690755442,81006.0,4645.446767123225
Nevada,NV,1999,1809253.0,10311.0,569.9037116423186,73874.0,4083.1215976980557
Nevada,NV,2000,2018741.0,10474.0,518.8382263995233,74823.0,3706.41900075344
Nevada,NV,2001,2098399.0,12359.0,588.97283119178,77486.0,3692.6247105531406
Nevada,NV,2002,2173791.0,13856.0,637.4117842975704,83896.0,3859.4326685500127
Nevada,NV,2003,2248850.0,13813.0,614.2250483580497,96128.0,4274.540320608311
Nevada,NV,2004,2346222.0,14379.0,612.8576068249296,98215.0,4186.091512226891
Nevada,NV,2005,2432143.0,14654.0,602.5139146834705,102424.0,4211.265538251657
Nevada,NV,2006,2522658.0,18687.0,740.7662869877724,102338.0,4056.7528376815253
Nevada,NV,2007,2601072.0,19365.0,744.5007289302257,97118.0,3733.7682309447796
Nevada,NV,2008,2653630.0,18973.0,714.9828725180224,90006.0,3391.806694980084
Nevada,NV,2009,2684665.0,18639.0,694.2765670949634,80976.0,3016.2422499641484
Nevada,NV,2010,2702483.0,17929.0,663.4269299751377,75004.0,2775.373610120767
Nevada,NV,2011,2713114.0,15452.0,569.5300676639463,70075.0,2582.825491298928
Nevada,NV,2012,2744670.0,16763.0,610.7473758229587,77510.0,2824.018916663934
Nevada,NV,2013,2776956.0,16888.0,608.1479144790194,79177.0,2851.2155035945834
Nevada,NV,2014,2818935.0,18043.0,640.0644214925139,74574.0,2645.4671711124947
Nevada,NV,2015,2868531.0,20118.0,701.3345855422165,77137.0,2689.0767434620716
Nevada,NV,2016,2919555.0,19924.0,682.4327680074532,75922.0,2600.4647968611653
Nevada,NV,2017,2972097.0,16663.0,560.6479196338478,78320.0,2635.176442760785
Nevada,NV,2018,3030725.0,16715.0,551.5182010904981,73998.0,2441.594008034381
Nevada,NV,2019,3090771.0,15334.0,496.12216498731226,72028.0,2330.421762078135
Nevada,NV,2020,3116851.0,14445.0,463.4485254508477,60462.0,1939.8424884603082
Nevada,NV,2021,3148472.0,13592.0,431.70147296847483,70236.0,2230.796399015141
Nevada,NV,2022,3177672.0,14597.0,459.3614444788512,76224.0,2398.7371887343943
Nevada,NV,2023,3211077.0,13941.0,434.15340086830685,81631.0,2542.168873558622
Nevada,NV,2024,3253543.0,13135.0,403.7137360717224,71786.0,2206.39469034219
New Hampshire,NH,1979,909074.0,1241.0,136.51253913322788,39373.0,4331.110558656391
New Hampshire,NH,1980,924250.0,1653.0,178.847714362997,41358.0,4474.763321612118
New Hampshire,NH,1981,936621.0,1375.0,146.80431038808652,39034.0,4167.534146682597
New Hampshire,NH,1982,947719.0,1187.0,125.24809569081131,35229.0,3717.2410809533208
New Hampshire,NH,1983,958134.0,1200.0,125.24344194027141,30987.0,3234.098779502658
New Hampshire,NH,1984,976864.0,1308.0,133.8978609100141,29347.0,3004.205293674452
New Hampshire,NH,1985,996753.0,1405.0,140.95768961819027,31049.0,3115.0144519254018
New Hampshire,NH,1986,1025053.0,1433.0,139.79764948739236,32767.0,3196.6151994092015
New Hampshire,NH,1987,1054289.0,1581.0,149.9588822419659,34058.0,3230.4235366204143
New Hampshire,NH,1988,1082577.0,1622.0,149.82767969391554,34951.0,3228.5001436387433
New Hampshire,NH,1989,1104522.0,1865.0,168.851322110379,37945.0,3435.4227439562087
New Hampshire,NH,1990,1111831.0,1459.0,131.2249793358883,38976.0,3505.5687420120503
New Hampshire,NH,1991,1107055.0,1318.0,119.05460884960549,36780.0,3322.328158944226
New Hampshire,NH,1992,1112766.0,1397.0,125.54301623162462,32828.0,2950.1260822131517
New Hampshire,NH,1993,1122191.0,1550.0,138.12265469960104,31131.0,2774.126686098891
New Hampshire,NH,1994,1133054.0,1328.0,117.20535826183043,29837.0,2633.3255078751763
New Hampshire,NH,1995,1145604.0,1314.0,114.6993201839379,29170.0,2546.2550759250144
New Hampshire,NH,1996,1160768.0,1373.0,118.28375696090865,31436.0,2708.2069802062083
New Hampshire,NH,1997,1173239.0,1328.0,113.19091847441143,29635.0,2525.913304961734
New Hampshire,NH,1998,1185823.0,1270.0,107.09861421139581,27405.0,2311.0531672939387
New Hampshire,NH,1999,1201134.0,1159.0,96.49214825323402,26247.0,2185.185000174835
New Hampshire,NH,2000,1239882.0,2167.0,174.77469630174485,27901.0,2250.2947861167436
New Hampshire,NH,2001,1255517.0,2144.0,170.76630583257733,27089.0,2157.5972288706566
New Hampshire,NH,2002,1269089.0,2056.0,162.00597436428808,26250.0,2068.412853629651
New Hampshire,NH,2003,1279840.0,1937.0,151.34704338042255,26456.0,2067.1333916739595
New Hampshire,NH,2004,1290121.0,2202.0,170.6816647430745,26658.0,2066.3178104999456
New Hampshire,NH,2005,1298492.0,1761.0,135.6188563348869,24031.0,1850.6852564359272
New Hampshire,NH,2006,1308389.0,1785.0,136.4273163409353,26060.0,1991.7623887085567
New Hampshire,NH,2007,1312540.0,1896.0,144.45274048790893,26394.0,2010.910143690859
New Hampshire,NH,2008,1315906.0,2054.0,156.09017665395552,28387.0,2157.2209565120916
New Hampshire,NH,2009,1316102.0,2125.0,161.46164962898013,28790.0,2187.520420149806
New Hampshire,NH,2010,1316807.0,2204.0,167.37456590069766,29230.0,2219.7634125578006
New Hampshire,NH,2011,1320444.0,2864.0,216.89674079324834,32756.0,2480.680740720545
New Hampshire,NH,2012,1324677.0,2841.0,214.46737582067175,32074.0,2421.269486825845
New Hampshire,NH,2013,1327272.0,2952.0,222.41108077319495,30409.0,2291.0902964878337
New Hampshire,NH,2014,1334257.0,2625.0,196.73870925916071,26098.0,1955.9949844745051
New Hampshire,NH,2015,1337480.0,2692.0,201.27403774262046,23453.0,1753.5215479857643
New Hampshire,NH,2016,1343694.0,2668.0,198.55711196150313,20323.0,1512.4723337307453
New Hampshire,NH,2017,1350395.0,2642.0,195.64645899903363,18550.0,1373.6721477789833
New Hampshire,NH,2018,1355064.0,2404.0,177.40859472320125,17201.0,1269.3865382004096
New Hampshire,NH,2019,1360783.0,2152.0,158.14424489429982,16552.0,1216.3585229974212
New Hampshire,NH,2020,1378752.0,2000.0,145.0587197697628,15014.0,1088.9558093116093
New Hampshire,NH,2021,1387907.0,1800.0,129.6916868349248,14396.0,1037.2452909308765
New Hampshire,NH,2022,1396647.0,1794.0,128.45049608097108,14410.0,1031.7567717540653
New Hampshire,NH,2023,1401530.0,1613.0,115.08851041361939,12788.0,912.4314142401519
New Hampshire,NH,2024,1408518.0,1551.0,110.11573867000634,12935.0,918.3411216612071
New Jersey,NJ,1979,7366512.0,36747.0,498.8385276505353,390018.0,5294.473150929504
New Jersey,NJ,1980,7376330.0,44373.0,601.5593120155959,425623.0,5770.118744687399
New Jersey,NJ,1981,7407472.0,46674.0,630.0935055846313,410693.0,5544.30715364162
New Jersey,NJ,1982,7430968.0,45175.0,607.9288727928852,377016.0,5073.578570113611
New Jersey,NJ,1983,7467785.0,41304.0,553.0957305278606,344296.0,4610.4166094765715
New Jersey,NJ,1984,7515473.0,39659.0,527.6979905323325,325231.0,4327.485442366701
New Jersey,NJ,1985,7565528.0,41172.0,544.20524251579,344067.0,4547.825346757028
New Jersey,NJ,1986,7622159.0,43623.0,572.3181581491543,355764.0,4667.49644031304
New Jersey,NJ,1987,7670742.0,41507.0,541.1080179727072,362155.0,4721.251216635887
New Jersey,NJ,1988,7712333.0,44993.0,583.3902659545432,363807.0,4717.210732472262
New Jersey,NJ,1989,7726089.0,47111.0,609.7651735567633,360532.0,4666.423076410329
New Jersey,NJ,1990,7757158.0,50057.0,645.3007660795358,371023.0,4782.975930102236
New Jersey,NJ,1991,7784269.0,49257.0,632.7761797543225,372212.0,4781.592208594025
New Jersey,NJ,1992,7827770.0,48745.0,622.7188586276807,345718.0,4416.557972449369
New Jersey,NJ,1993,7874891.0,49390.0,627.1832841876795,328867.0,4176.146692062151
New Jersey,NJ,1994,7918796.0,48544.0,613.0224847312647,319856.0,4039.199898570439
New Jersey,NJ,1995,7965523.0,47652.0,598.2281389432934,326056.0,4093.340763688712
New Jersey,NJ,1996,8009624.0,42459.0,530.0997899526869,303657.0,3791.151744451425
New Jersey,NJ,1997,8054178.0,39673.0,492.5766477969571,287038.0,3563.839786009199
New Jersey,NJ,1998,8095542.0,35720.0,441.23049451167077,260810.0,3221.6496437174933
New Jersey,NJ,1999,8143412.0,33540.0,411.8666721025536,243333.0,2988.096390063526
New Jersey,NJ,2000,8430621.0,32298.0,383.10345109808634,233637.0,2771.29051347463
New Jersey,NJ,2001,8492671.0,33094.0,389.6771698797704,240551.0,2832.454006519268
New Jersey,NJ,2002,8552643.0,32252.0,377.0998041190308,227715.0,2662.510290678566
New Jersey,NJ,2003,8601402.0,31488.0,366.0798553538133,220350.0,2561.7916707067056
New Jersey,NJ,2004,8634561.0,30943.0,358.3621680361051,211313.0,2447.292919697944
New Jersey,NJ,2005,8651974.0,30919.0,357.3635334549087,203391.0,2350.8045678361955
New Jersey,NJ,2006,8661679.0,30550.0,352.70298056531533,198820.0,2295.3979245825203
New Jersey,NJ,2007,8677885.0,28544.0,328.9280740641297,192338.0,2216.415635837534
New Jersey,NJ,2008,8711090.0,28351.0,325.4586969024542,199127.0,2285.9022234875315
New Jersey,NJ,2009,8755602.0,27113.0,309.66460101772554,180752.0,2064.4154451058876
New Jersey,NJ,2010,8799451.0,27055.0,307.4623632769817,183042.0,2080.152500423038
New Jersey,NJ,2011,8828552.0,27203.0,308.1252735442913,189719.0,2148.9254410009707
New Jersey,NJ,2012,8845671.0,25727.0,290.84283148220186,181481.0,2051.636331489154
New Jersey,NJ,2013,8857821.0,25748.0,290.6809699586388,167634.0,1892.4970373639296
New Jersey,NJ,2014,8867277.0,23319.0,262.9781386100829,154945.0,1747.3797198395855
New Jersey,NJ,2015,8870312.0,22879.0,257.92779329520766,145701.0,1642.569055068187
New Jersey,NJ,2016,8873584.0,21861.0,246.36043339421815,138012.0,1555.3129378163324
New Jersey,NJ,2017,8888147.0,20604.0,231.81434780500365,140086.0,1576.0990451665573
New Jersey,NJ,2018,8891730.0,18536.0,208.46336989539716,125155.0,1407.5438637925351
New Jersey,NJ,2019,8891258.0,18382.0,206.74239798237772,118637.0,1334.3106228612419
New Jersey,NJ,2020,9270476.0,17353.0,187.18564181601894,102875.0,1109.7056936450729
New Jersey,NJ,2021,9266509.0,17003.0,183.48873345938583,102821.0,1109.5980158223556
New Jersey,NJ,2022,9298402.0,20185.0,217.08031121906754,133241.0,1432.945144767886
New Jersey,NJ,2023,9395315.0,21136.0,224.9631864391987,143279.0,1525.0047497077
New Jersey,NJ,2024,9506354.0,20684.0,217.5807885967638,135610.0,1426.51956785956
New Mexico,NM,1979,1284722.0,7272.0,566.0368546658343,64563.0,5025.44519359052
New Mexico,NM,1980,1309400.0,7967.0,608.4466167710401,69490.0,5307.010844661677
New Mexico,NM,1981,1332748.0,8913.0,668.7685894107514,73369.0,5505.091735271784
New Mexico,NM,1982,1363823.0,9982.0,731.9131588189963,79816.0,5852.372338639251
New Mexico,NM,1983,1394361.0,9608.0,689.0611541774332,79175.0,5678.2282350123105
New Mexico,NM,1984,1416717.0,9798.0,691.5989573076345,79108.0,5583.89572511659
New Mexico,NM,1985,1438361.0,10207.0,709.627138110669,83843.0,5829.065165142826
New Mexico,NM,1986,1462729.0,10731.0,733.6287172811915,87266.0,5965.971823899027
New Mexico,NM,1987,1478520.0,9427.0,637.5970565159754,88775.0,6004.315125936748
New Mexico,NM,1988,1490337.0,9938.0,666.8290460479744,89817.0,6026.623508642676
New Mexico,NM,1989,1503901.0,10755.0,715.1401588269441,89693.0,5964.02289778383
New Mexico,NM,1990,1519933.0,11821.0,777.7316500135204,89448.0,5884.996246545078
New Mexico,NM,1991,1547115.0,12922.0,835.2320286468686,90474.0,5847.916929252188
