state,state_abbr,year,controls_source,median_hh_income_nominal,median_hh_income_real_2024,poverty_rate,share_white_nh,share_black_nh,share_hispanic,share_bachelors_plus,share_male,share_age_15_24,share_age_25_44
Alabama,AL,1999,historical_mix,33840,63725.13832916458,0.153,0.7206518192107668,0.2595393172599043,0.010377673253754924,0.218,0.4799508542832703,0.1429633246999562,0.29918267441855145
Alabama,AL,2000,historical_mix,34923,63622.59734501282,0.146,0.7032583864104113,0.2592237543329965,0.017298519172547877,0.204,0.48276156384758634,0.1425780175208825,0.2884818267394371
Alabama,AL,2001,historical_mix,34761,61592.630575664865,0.157,0.7002451409403725,0.2595890800365473,0.019187337190110024,0.20199999999999999,0.4830606088144194,0.14338842438749458,0.2835845550463624
Alabama,AL,2002,historical_mix,35943,62686.73019551519,0.154,0.6974082434523065,0.25973903643432084,0.021021680596077445,0.22699999999999998,0.4834098161889195,0.14364915518419388,0.2789694579728215
Alabama,AL,2003,historical_mix,36131,61599.067716485515,0.153,0.6945047741851821,0.25979623363297494,0.0229759535435954,0.22699999999999998,0.4839405696602924,0.144030042471496,0.274999994448751
Alabama,AL,2004,historical_mix,37062,61544.5663399356,0.161,0.6913379723218934,0.25990011761904097,0.025003481779642966,0.223,0.48399981548223253,0.14387176986308384,0.27182623370322967
Alabama,AL,2005,acs1,36879,59246.54159354729,0.1702700860134174,0.6964080153821289,0.25706158478966395,0.022293462460141206,0.21415496798583458,0.48235746162458654,0.13440454801040302,0.2755720915742687
Alabama,AL,2006,acs1,38783,60360.471316823096,0.16555975790200778,0.6896454252309726,0.2618239063454685,0.024229457081167114,0.21066546516266949,0.4850140138246543,0.14349504134567506,0.2679195395550801
Alabama,AL,2007,acs1,40554,61355.55031770848,0.16860684306328413,0.6864304836089148,0.26116225435952883,0.02580355331232574,0.2138647024041882,0.4836575334858447,0.14192159600644014,0.26484301244789427
Alabama,AL,2008,acs1,42666,62178.7768603872,0.15695140822184195,0.6839057036830477,0.26094360668397004,0.027920804822068254,0.21993510473773095,0.48455007614920953,0.1408376413050473,0.263030309530449
Alabama,AL,2009,acs1,40489,59195.79056275187,0.17535426253661282,0.6793031124461317,0.25991758248759533,0.031490379101868284,0.22032957828382835,0.48437575657696336,0.13950174867500809,0.26321997456627166
Alabama,AL,2010,acs1,40474,58221.032549025294,0.19033548533631028,0.6700700771404414,0.2625888711633006,0.03819929291759886,0.21910181839690454,0.48528701869768615,0.1436880211012982,0.255521599699747
Alabama,AL,2011,acs1,41415,57761.143024501725,0.19040193814731224,0.6668199819269833,0.26544264315786403,0.03877036858126819,0.2225225941865498,0.48397643844971827,0.14193564506927295,0.25462485997576384
Alabama,AL,2012,acs1,41574,56805.21829393695,0.18962570039630522,0.6662075232739454,0.26285212658670437,0.03845709570443774,0.23278548475439348,0.4845043252593362,0.14027597960441085,0.2540972948490706
Alabama,AL,2013,acs1,42849,57701.44565773815,0.18730944285591605,0.6629516550600137,0.26486008090659746,0.03929352991338766,0.23468158056852276,0.484485661359921,0.141826733105462,0.2526223063717773
Alabama,AL,2014,acs1,42830,56758.93998408776,0.1925257675806216,0.6610199619456273,0.26513323257812293,0.03967788027204319,0.2347135164147501,0.4841795141932665,0.13923438000386443,0.2534721470407436
