state_abbr,year,drug_overdose_per_100k
AK,2003,9.087975445656634
AK,2004,9.579663304938979
AK,2005,10.334039777913052
AK,2006,11.840800260550093
AK,2007,12.271106217021902
AK,2008,12.325829028285487
AK,2009,12.434765221170561
AK,2010,12.808584360404705
AK,2011,13.705998970594546
AK,2012,13.669970654848731
AK,2013,14.40502369675147
AK,2014,15.318003692025913
AK,2015,16.94533746586677
AK,2016,20.437555957916707
AK,2017,22.41966000950089
AK,2018,21.398493198090204
AK,2019,22.347583624848863
AK,2020,28.963022119596587
AK,2021,33.443615421681976
AL,2003,7.381189035916803
AL,2004,7.778653178835017
AL,2005,8.389742465932354
AL,2006,9.596890978751047
AL,2007,9.95023059648522
AL,2008,9.989139589733893
AL,2009,10.06598915095573
AL,2010,10.363097803014487
AL,2011,11.084969985796857
AL,2012,11.05895819998912
AL,2013,11.654734319896198
AL,2014,12.390128673755408
AL,2015,13.713204025189075
AL,2016,16.543058704960362
AL,2017,18.15622471970929
AL,2018,17.339262642187837
AL,2019,18.109984705326955
AL,2020,23.451400126001413
AL,2021,27.05364819232096
AR,2003,6.889340651552252
AR,2004,7.259476873293896
AR,2005,7.829955851672918
AR,2006,8.964097347270021
AR,2007,9.300975914752602
AR,2008,9.339965330966127
AR,2009,9.41358779056718
AR,2010,9.694726245520878
AR,2011,10.371709205355387
AR,2012,10.349672326829843
AR,2013,10.90477793762386
AR,2014,11.587717352435815
AR,2015,12.819991229113894
AR,2016,15.460597672663583
AR,2017,16.968763844992516
AR,2018,16.203846930804826
AR,2019,16.920026194343897
AR,2020,21.9147116316562
AR,2021,25.30906009350304
AZ,2003,10.684254427088666
AZ,2004,11.25609458570548
AZ,2005,12.135177143653012
AZ,2006,13.867594783638332
AZ,2007,14.362537490304703
AZ,2008,14.393754548846069
AZ,2009,14.493614991775384
AZ,2010,14.911408951432444
AZ,2011,15.945971463364936
AZ,2012,15.907916818048292
AZ,2013,16.75850661569267
AZ,2014,17.80159996438964
AZ,2015,19.685517461217273
AZ,2016,23.72377991923415
AZ,2017,26.031514219653612
AZ,2018,24.860406182991383
AZ,2019,25.957660550063956
AZ,2020,33.60660106584997
AZ,2021,38.833993889350054
CA,2003,6.927337471783168
CA,2004,7.303610282113834
CA,2005,7.883965775133673
CA,2006,9.030950506457557
CA,2007,9.376877280781397
CA,2008,9.415987249259834
CA,2009,9.490207451790901
CA,2010,9.774132187539005
CA,2011,10.453742670134964
CA,2012,10.42858765711841
CA,2013,10.98531243664964
CA,2014,11.674756817780196
CA,2015,12.91830961955821
CA,2016,15.58080269356507
CA,2017,17.108300974813908
CA,2018,16.349570549598234
CA,2019,17.080595222788098
CA,2020,22.135789956176424
CA,2021,25.575978193961053
CO,2003,9.187854803128117
CO,2004,9.664726616523275
CO,2005,10.408959158531035
CO,2006,11.892478214259611
CO,2007,12.31965414535745
CO,2008,12.361070372290495
CO,2009,12.45338699965307
CO,2010,12.834918508963144
CO,2011,13.747253935963215
CO,2012,13.71985152600093
CO,2013,14.449544785342722
CO,2014,15.352569712608945
CO,2015,16.98851705068342
CO,2016,20.49088365946805
CO,2017,22.482846191520984
CO,2018,21.468422107732717
CO,2019,22.41065642866545
CO,2020,29.024049927744436
CO,2021,33.424253332747774
CT,2003,10.613850029655577
CT,2004,11.187279600282485
CT,2005,12.07003748610476
CT,2006,13.817397378170611
CT,2007,14.332027798660155
CT,2008,14.380924503244744
CT,2009,14.485228488045536
