event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,0.1900593954964399,0.0658955033585632,-0.11061926112571517,0.13713908585383294,0.1900593954964399,0.12915518658278388,0.06090420891365603,0.3192145820792238,False
0,0.5,0.1900593954964399,0.0658955033585632,-0.11061926112571517,0.13713908585383294,0.2453690260592975,0.18639589262334405,0.05897313343595345,0.43176491868264155,False
0,1.0,0.1900593954964399,0.0658955033585632,-0.11061926112571517,0.13713908585383294,0.3006786566221551,0.29821222054723323,0.002466436074921863,0.5988908771693884,False
0,2.0,0.1900593954964399,0.0658955033585632,-0.11061926112571517,0.13713908585383294,0.4112979177478703,0.5528823810460464,-0.1415844632981761,0.9641802987939166,True
1,0.0,0.3120626720860039,0.0,-0.11061926112571517,0.13713908585383294,0.3120626720860039,0.0,0.3120626720860039,0.3120626720860039,False
1,0.5,0.3120626720860039,0.0,-0.11061926112571517,0.13713908585383294,0.4226819332117191,0.2687926082735126,0.1538893249382065,0.6914745414852317,False
1,1.0,0.3120626720860039,0.0,-0.11061926112571517,0.13713908585383294,0.5333011943374343,0.5375852165470252,-0.004284022209590899,1.0708864108844596,True
1,2.0,0.3120626720860039,0.0,-0.11061926112571517,0.13713908585383294,0.7545397165888645,1.0751704330940504,-0.3206307165051858,1.829710149682915,True
2,0.0,-0.6317503577120425,0.0,-0.11061926112571517,0.13713908585383294,-0.6317503577120425,0.0,-0.6317503577120425,-0.6317503577120425,False
2,0.5,-0.6317503577120425,0.0,-0.11061926112571517,0.13713908585383294,-0.46582146602346974,0.40318891241026883,-0.8690103784337386,-0.06263255361320091,False
2,1.0,-0.6317503577120425,0.0,-0.11061926112571517,0.13713908585383294,-0.29989257433489697,0.8063778248205377,-1.1062703991554346,0.5064852504856407,True
2,2.0,-0.6317503577120425,0.0,-0.11061926112571517,0.13713908585383294,0.03196520904224853,1.6127556496410753,-1.5807904405988267,1.644720858683324,True
3,0.0,-0.8358916404479046,0.0,-0.11061926112571517,0.13713908585383294,-0.8358916404479046,0.0,-0.8358916404479046,-0.8358916404479046,False
3,0.5,-0.8358916404479046,0.0,-0.11061926112571517,0.13713908585383294,-0.6146531181964743,0.5375852165470252,-1.1522383347434995,-0.0770679016494491,False
3,1.0,-0.8358916404479046,0.0,-0.11061926112571517,0.13713908585383294,-0.39341459594504397,1.0751704330940504,-1.4685850290390943,0.6817558371490064,True
3,2.0,-0.8358916404479046,0.0,-0.11061926112571517,0.13713908585383294,0.04906244855781672,2.1503408661881007,-2.101278417630284,2.1994033147459175,True
4,0.0,-0.6826409768006183,0.0,-0.11061926112571517,0.13713908585383294,-0.6826409768006183,0.0,-0.6826409768006183,-0.6826409768006183,False
4,0.5,-0.6826409768006183,0.0,-0.11061926112571517,0.13713908585383294,-0.4060928239863304,0.6719815206837814,-1.0780743446701118,0.26588869669745097,True
4,1.0,-0.6826409768006183,0.0,-0.11061926112571517,0.13713908585383294,-0.1295446711720425,1.3439630413675627,-1.4735077125396052,1.2144183701955202,True
4,2.0,-0.6826409768006183,0.0,-0.11061926112571517,0.13713908585383294,0.4235516344565333,2.6879260827351255,-2.264374448278592,3.1114777171916588,True
5,0.0,-0.8750767024649351,0.0,-0.11061926112571517,0.13713908585383294,-0.8750767024649351,0.0,-0.8750767024649351,-0.8750767024649351,False
5,0.5,-0.8750767024649351,0.0,-0.11061926112571517,0.13713908585383294,-0.5432189190877896,0.8063778248205377,-1.3495967439083274,0.263158905732748,True
5,1.0,-0.8750767024649351,0.0,-0.11061926112571517,0.13713908585383294,-0.21136113571064408,1.6127556496410753,-1.8241167853517193,1.4013945139304314,True
5,2.0,-0.8750767024649351,0.0,-0.11061926112571517,0.13713908585383294,0.4523544310436469,3.2255112992821506,-2.7731568682385035,3.6778657303257978,True
