event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,0.1718042305263012,0.1253473850243861,0.037641857249793714,0.060997032103008185,0.1718042305263012,0.24568087464779678,-0.07387664412149558,0.417485105174098,True
0,0.5,0.1718042305263012,0.1253473850243861,0.037641857249793714,0.060997032103008185,0.15298330190140436,0.25284855710728704,-0.09986525520588269,0.4058318590086914,True
0,1.0,0.1718042305263012,0.1253473850243861,0.037641857249793714,0.060997032103008185,0.13416237327650749,0.2732257213767192,-0.1390633481002117,0.4073880946532267,True
0,2.0,0.1718042305263012,0.1253473850243861,0.037641857249793714,0.060997032103008185,0.09652051602671377,0.3428292618552202,-0.24630874582850645,0.43934977788193397,True
1,0.0,0.0525677258152424,0.2097967408061988,0.037641857249793714,0.060997032103008185,0.0525677258152424,0.41120161198014965,-0.35863388616490727,0.46376933779539203,True
1,0.5,0.0525677258152424,0.2097967408061988,0.037641857249793714,0.060997032103008185,0.014925868565448683,0.4282288737920363,-0.4133030052265876,0.443154742357485,True
1,1.0,0.0525677258152424,0.2097967408061988,0.037641857249793714,0.060997032103008185,-0.02271598868434503,0.47566750604972197,-0.498383494734067,0.4529515173653769,True
1,2.0,0.0525677258152424,0.2097967408061988,0.037641857249793714,0.060997032103008185,-0.09799970318393246,0.6306964469227875,-0.72869615010672,0.532696743738855,True
2,0.0,0.3558874706142053,0.1461372716992616,0.037641857249793714,0.060997032103008185,0.3558874706142053,0.28642905253055273,0.06945841808365255,0.6423165231447581,False
2,0.5,0.3558874706142053,0.1461372716992616,0.037641857249793714,0.060997032103008185,0.2994246847395147,0.33793684040856664,-0.03851215566905192,0.6373615251480813,True
2,1.0,0.3558874706142053,0.1461372716992616,0.037641857249793714,0.060997032103008185,0.24296189886482414,0.4589993747497373,-0.21603747588491315,0.7019612736145614,True
2,2.0,0.3558874706142053,0.1461372716992616,0.037641857249793714,0.060997032103008185,0.130036327115443,0.7723968524547136,-0.6423605253392706,0.9024331795701566,True
3,0.0,0.3169197428742302,0.2381555833700778,0.037641857249793714,0.060997032103008185,0.3169197428742302,0.4667849434053525,-0.1498652005311223,0.7837046862795827,True
3,0.5,0.3169197428742302,0.2381555833700778,0.037641857249793714,0.060997032103008185,0.24163602837464276,0.5244625763640595,-0.2828265479894167,0.7660986047387022,True
3,1.0,0.3169197428742302,0.2381555833700778,0.037641857249793714,0.060997032103008185,0.16635231387505534,0.6682659843624341,-0.5019136704873788,0.8346182982374895,True
3,2.0,0.3169197428742302,0.2381555833700778,0.037641857249793714,0.060997032103008185,0.01578488487588048,1.0642617879327234,-1.048476903056843,1.0800466728086038,True
4,0.0,0.0483139275835835,0.1484040191185077,0.037641857249793714,0.060997032103008185,0.0483139275835835,0.2908718774722751,-0.24255794988869162,0.3391858050558586,True
4,0.5,0.0483139275835835,0.1484040191185077,0.037641857249793714,0.060997032103008185,-0.045790715540900785,0.41705990659917175,-0.46285062214007255,0.37126919105827094,True
4,1.0,0.0483139275835835,0.1484040191185077,0.037641857249793714,0.060997032103008185,-0.13989535866538508,0.6647830589427657,-0.8046784176081507,0.5248877002773806,True
4,2.0,0.0483139275835835,0.1484040191185077,0.037641857249793714,0.060997032103008185,-0.32810464491435365,1.2304172928386792,-1.5585219377530328,0.9023126479243255,True
5,0.0,0.2889929334689336,0.2006798619618494,0.037641857249793714,0.060997032103008185,0.2889929334689336,0.3933325294452248,-0.10433959597629117,0.6823254629141584,True
5,0.5,0.2889929334689336,0.2006798619618494,0.037641857249793714,0.060997032103008185,0.17606736171955248,0.5323056477315249,-0.3562382860119724,0.7083730094510774,True
5,1.0,0.2889929334689336,0.2006798619618494,0.037641857249793714,0.060997032103008185,0.06314178997017134,0.8180866544982733,-0.754944864528102,0.8812284444684446,True
5,2.0,0.2889929334689336,0.2006798619618494,0.037641857249793714,0.060997032103008185,-0.16270935352859095,1.487592572216389,-1.65030192574498,1.324883218687798,True
