event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero,source_file
0,0.0,-0.1453607517423353,0.2065636904324939,0.0226658541836436,0.0370622415529533,-0.1453607517423353,0.404864833247688,-0.5502255849900233,0.2595040815053527,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
0,0.5,-0.1453607517423353,0.2065636904324939,0.0226658541836436,0.0370622415529533,-0.1566936788341571,0.4064907723473561,-0.5631844511815132,0.2497970935131989,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
0,1.0,-0.1453607517423353,0.2065636904324939,0.0226658541836436,0.0370622415529533,-0.1680266059259789,0.4113300285806588,-0.5793566345066378,0.2433034226546799,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
0,2.0,-0.1453607517423353,0.2065636904324939,0.0226658541836436,0.0370622415529533,-0.1906924601096225,0.4301429646601556,-0.6208354247697783,0.2394505045505331,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
1,0.0,0.1638629201742476,0.1802747998075067,0.0226658541836436,0.0370622415529533,0.1638629201742476,0.3533386076227131,-0.1894756874484655,0.5172015277969607,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
1,0.5,0.1638629201742476,0.1802747998075067,0.0226658541836436,0.0370622415529533,0.1411970659906039,0.3607284724668197,-0.2195314064762157,0.5019255384574237,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
1,1.0,0.1638629201742476,0.1802747998075067,0.0226658541836436,0.0370622415529533,0.1185312118069603,0.3820413701193986,-0.2635101583124383,0.500572581926359,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
1,2.0,0.1638629201742476,0.1802747998075067,0.0226658541836436,0.0370622415529533,0.073199503439673,0.4574690361331098,-0.3842695326934367,0.5306685395727828,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
2,0.0,-0.1549141532631299,0.1084329524600901,0.0226658541836436,0.0370622415529533,-0.1549141532631299,0.2125285868217766,-0.3674427400849065,0.0576144335586467,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
2,0.5,-0.1549141532631299,0.1084329524600901,0.0226658541836436,0.0370622415529533,-0.1889129345385953,0.2388332754084073,-0.4277462099470027,0.0499203408698119,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
2,1.0,-0.1549141532631299,0.1084329524600901,0.0226658541836436,0.0370622415529533,-0.2229117158140608,0.3044012699051176,-0.5273129857191785,0.0814895540910567,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
2,2.0,-0.1549141532631299,0.1084329524600901,0.0226658541836436,0.0370622415529533,-0.2909092783649917,0.4849075497762525,-0.7758168281412442,0.1939982714112608,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
3,0.0,0.0282956173019182,0.2178495094246789,0.0226658541836436,0.0370622415529533,0.0282956173019182,0.4269850384723706,-0.3986894211704524,0.4552806557742888,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
3,0.5,0.0282956173019182,0.2178495094246789,0.0226658541836436,0.0370622415529533,-0.017036091065369,0.4510251211686568,-0.4680612122340258,0.4339890301032877,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
3,1.0,0.0282956173019182,0.2178495094246789,0.0226658541836436,0.0370622415529533,-0.0623677994326563,0.5164745593570419,-0.5788423587896983,0.4541067599243855,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
3,2.0,0.0282956173019182,0.2178495094246789,0.0226658541836436,0.0370622415529533,-0.1530312161672309,0.7211346702346568,-0.8741658864018877,0.5681034540674259,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
4,0.0,-0.7729361770594295,0.1519300544954219,0.0226658541836436,0.0370622415529533,-0.7729361770594295,0.2977829068110269,-1.0707190838704563,-0.4751532702484026,False,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
4,0.5,-0.7729361770594295,0.1519300544954219,0.0226658541836436,0.0370622415529533,-0.8296008125185386,0.3487908107456691,-1.1783916232642078,-0.4808100017728695,False,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
4,1.0,-0.7729361770594295,0.1519300544954219,0.0226658541836436,0.0370622415529533,-0.8862654479776477,0.4696766333085034,-1.3559420812861511,-0.4165888146691442,False,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
4,2.0,-0.7729361770594295,0.1519300544954219,0.0226658541836436,0.0370622415529533,-0.999594718895866,0.7850863524081714,-1.7846810713040373,-0.2145083664876945,False,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
5,0.0,-0.2312099463352412,0.2220053742998468,0.0226658541836436,0.0370622415529533,-0.2312099463352412,0.4351305336276997,-0.6663404799629409,0.2039205872924585,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
5,0.5,-0.2312099463352412,0.2220053742998468,0.0226658541836436,0.0370622415529533,-0.2992075088861721,0.4866521490741755,-0.7858596579603476,0.1874446401880034,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
5,1.0,-0.2312099463352412,0.2220053742998468,0.0226658541836436,0.0370622415529533,-0.367205071437103,0.6158778392738888,-0.983082910710992,0.2486727678367858,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
5,2.0,-0.2312099463352412,0.2220053742998468,0.0226658541836436,0.0370622415529533,-0.5032001965389649,0.9742721938705404,-1.4774723904095053,0.4710719973315757,True,cs21_magazine_ban_broad_or_firearm_suicide_rate_bounds.csv
0,0.0,0.1983224328793909,0.1491228075024269,0.0887250084742579,0.0980772682890393,0.1983224328793909,0.2922807027047567,-0.0939582698253658,0.4906031355841476,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
0,0.5,0.1983224328793909,0.1491228075024269,0.0887250084742579,0.0980772682890393,0.1539599286422618,0.3076787957702757,-0.1537188671280138,0.4616387244125375,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
0,1.0,0.1983224328793909,0.1491228075024269,0.0887250084742579,0.0980772682890393,0.1095974244051329,0.3498298700023039,-0.240232445597171,0.4594272944074368,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
0,2.0,0.1983224328793909,0.1491228075024269,0.0887250084742579,0.0980772682890393,0.0208724159308749,0.4829489872259349,-0.4620765712950599,0.5038214031568098,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
1,0.0,0.4993324079766409,0.1400568616911553,0.0887250084742579,0.0980772682890393,0.4993324079766409,0.2745114489146644,0.2248209590619765,0.7738438568913053,False,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
1,0.5,0.4993324079766409,0.1400568616911553,0.0887250084742579,0.0980772682890393,0.4106073995023829,0.3351260424936726,0.0754813570087102,0.7457334419960555,False,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
1,1.0,0.4993324079766409,0.1400568616911553,0.0887250084742579,0.0980772682890393,0.3218823910281249,0.4724068698422984,-0.1505244788141734,0.7942892608704233,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
1,2.0,0.4993324079766409,0.1400568616911553,0.0887250084742579,0.0980772682890393,0.1444323740796089,0.8164578347600737,-0.6720254606804648,0.9608902088396828,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
2,0.0,0.0811478749587348,0.1838679373699538,0.0887250084742579,0.0980772682890393,0.0811478749587348,0.3603811572451094,-0.2792332822863747,0.4415290322038442,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
2,0.5,0.0811478749587348,0.1838679373699538,0.0887250084742579,0.0980772682890393,-0.0519396377526521,0.4615394546892712,-0.5134790924419234,0.409599816936619,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
2,1.0,0.0811478749587348,0.1838679373699538,0.0887250084742579,0.0980772682890393,-0.1850271504640391,0.6800374529741038,-0.865064603438143,0.4950103025100646,True,cs21_magazine_ban_broad_ra_firearm_suicide_rate_bounds.csv
