event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,0.6318721256025872,0.2525290559456979,0.20660430885459335,0.08360248633495694,0.6318721256025872,0.4949569496535679,0.1369151759490193,1.1268290752561552,False
0,0.5,0.6318721256025872,0.2525290559456979,0.20660430885459335,0.08360248633495694,0.5285699711752905,0.5016921151993365,0.026877855975953935,1.030262086374627,False
0,1.0,0.6318721256025872,0.2525290559456979,0.20660430885459335,0.08360248633495694,0.42526781674799385,0.5213758411948558,-0.09610802444686195,0.9466436579428497,True
0,2.0,0.6318721256025872,0.2525290559456979,0.20660430885459335,0.08360248633495694,0.2186635078934005,0.5936193435994825,-0.37495583570608204,0.812282851492883,True
1,0.0,0.0416156565970181,0.2286057279307893,0.20660430885459335,0.08360248633495694,0.0416156565970181,0.448067226744347,-0.4064515701473289,0.4896828833413651,True
1,0.5,0.0416156565970181,0.2286057279307893,0.20660430885459335,0.08360248633495694,-0.16498865225757525,0.47708974570163326,-0.6420783979592085,0.312101093444058,True
1,1.0,0.0416156565970181,0.2286057279307893,0.20660430885459335,0.08360248633495694,-0.3715929611121686,0.5551268168333124,-0.926719777945481,0.18353385572114383,True
1,2.0,0.0416156565970181,0.2286057279307893,0.20660430885459335,0.08360248633495694,-0.7848015788213554,0.7939586966730915,-1.5787602754944468,0.009157117851736118,True
2,0.0,0.3828092098398524,0.330305401192953,0.20660430885459335,0.08360248633495694,0.3828092098398524,0.6473985863381878,-0.2645893764983354,1.0302077961780403,True
2,0.5,0.3828092098398524,0.330305401192953,0.20660430885459335,0.08360248633495694,0.07290274655796236,0.6924870378411871,-0.6195842912832248,0.7653897843991495,True
2,1.0,0.3828092098398524,0.330305401192953,0.20660430885459335,0.08360248633495694,-0.23700371672392767,0.8128827723197208,-1.0498864890436486,0.5758790555957931,True
2,2.0,0.3828092098398524,0.330305401192953,0.20660430885459335,0.08360248633495694,-0.8568166432877078,1.17717408116163,-2.033990724449338,0.32035743787392224,True
3,0.0,0.094509581255258,0.344374321833749,0.20660430885459335,0.08360248633495694,0.094509581255258,0.674973670794148,-0.5804640895388901,0.769483252049406,True
3,0.5,0.094509581255258,0.344374321833749,0.20660430885459335,0.08360248633495694,-0.3186990364539287,0.7503272615002357,-1.0690262979541645,0.43162822504630693,True
3,1.0,0.094509581255258,0.344374321833749,0.20660430885459335,0.08360248633495694,-0.7319076541631154,0.9408483557969323,-1.6727560099600476,0.20894070163381684,True
3,2.0,0.094509581255258,0.344374321833749,0.20660430885459335,0.08360248633495694,-1.5583248895814887,1.4744538465571526,-3.032778736138641,-0.08387104302433612,False
4,0.0,-0.4012059681663696,0.5249071606442095,0.20660430885459335,0.08360248633495694,-0.4012059681663696,1.0288180348626506,-1.43002400302902,0.627612066696281,True
4,0.5,-0.4012059681663696,0.5249071606442095,0.20660430885459335,0.08360248633495694,-0.917716740302853,1.1073759343281486,-2.0250926746310016,0.18965919402529563,True
4,1.0,-0.4012059681663696,0.5249071606442095,0.20660430885459335,0.08360248633495694,-1.4342275124393364,1.315190553927689,-2.749418066367025,-0.11903695851164753,False
4,2.0,-0.4012059681663696,0.5249071606442095,0.20660430885459335,0.08360248633495694,-2.4672490567123035,1.934813977101299,-4.402063033813603,-0.5324350796110044,False
5,0.0,0.1046701086415951,0.2071956126055069,0.20660430885459335,0.08360248633495694,0.1046701086415951,0.4061034007067935,-0.3014332920651984,0.5107735093483886,True
5,0.5,0.1046701086415951,0.2071956126055069,0.20660430885459335,0.08360248633495694,-0.515142817922185,0.6376311190705277,-1.1527739369927126,0.12248830114834275,True
5,1.0,0.1046701086415951,0.2071956126055069,0.20660430885459335,0.08360248633495694,-1.134955744485965,1.0637358035864293,-2.1986915480723943,-0.07121994089953576,False
5,2.0,0.1046701086415951,0.2071956126055069,0.20660430885459335,0.08360248633495694,-2.374581597613525,2.0078285591976717,-4.382410156811197,-0.36675303841585327,False
