estimator,control_rule,spec,event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
cs21,broad,or,0,0.0,0.1718042305263012,0.1253473850243861,0.0376418572497937,0.0609970321030081,0.1718042305263012,0.2456808746477967,-0.0738766441214955,0.417485105174098,True
cs21,broad,or,0,0.5,0.1718042305263012,0.1253473850243861,0.0376418572497937,0.0609970321030081,0.1529833019014043,0.252848557107287,-0.0998652552058826,0.4058318590086914,True
cs21,broad,or,0,1.0,0.1718042305263012,0.1253473850243861,0.0376418572497937,0.0609970321030081,0.1341623732765074,0.2732257213767192,-0.1390633481002117,0.4073880946532267,True
cs21,broad,or,0,2.0,0.1718042305263012,0.1253473850243861,0.0376418572497937,0.0609970321030081,0.0965205160267137,0.3428292618552202,-0.2463087458285064,0.4393497778819339,True
cs21,broad,or,1,0.0,0.0525677258152424,0.2097967408061988,0.0376418572497937,0.0609970321030081,0.0525677258152424,0.4112016119801496,-0.3586338861649072,0.463769337795392,True
cs21,broad,or,1,0.5,0.0525677258152424,0.2097967408061988,0.0376418572497937,0.0609970321030081,0.0149258685654486,0.4282288737920363,-0.4133030052265876,0.443154742357485,True
cs21,broad,or,1,1.0,0.0525677258152424,0.2097967408061988,0.0376418572497937,0.0609970321030081,-0.022715988684345,0.4756675060497219,-0.498383494734067,0.4529515173653769,True
cs21,broad,or,1,2.0,0.0525677258152424,0.2097967408061988,0.0376418572497937,0.0609970321030081,-0.0979997031839324,0.6306964469227875,-0.72869615010672,0.532696743738855,True
cs21,broad,or,2,0.0,0.3558874706142053,0.1461372716992616,0.0376418572497937,0.0609970321030081,0.3558874706142053,0.2864290525305527,0.0694584180836525,0.6423165231447581,False
cs21,broad,or,2,0.5,0.3558874706142053,0.1461372716992616,0.0376418572497937,0.0609970321030081,0.2994246847395147,0.3379368404085666,-0.0385121556690519,0.6373615251480813,True
cs21,broad,or,2,1.0,0.3558874706142053,0.1461372716992616,0.0376418572497937,0.0609970321030081,0.2429618988648241,0.4589993747497373,-0.2160374758849131,0.7019612736145614,True
