event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,-0.0871798885945275,0.1235343372774311,-0.21446987036009582,0.08375935292771329,-0.0871798885945275,0.24212730106376495,-0.3293071896582924,0.15494741246923746,True
0,0.5,-0.0871798885945275,0.1235343372774311,-0.21446987036009582,0.08375935292771329,0.020055046585520417,0.25566274700640035,-0.23560770042087992,0.2757177935919208,True
0,1.0,-0.0871798885945275,0.1235343372774311,-0.21446987036009582,0.08375935292771329,0.12728998176556833,0.2925352475620084,-0.16524526579644006,0.4198252293275767,True
0,2.0,-0.0871798885945275,0.1235343372774311,-0.21446987036009582,0.08375935292771329,0.3417598521256642,0.40795905983737246,-0.06619920771170829,0.7497189119630366,True
1,0.0,-0.1208963438341189,0.1693108599798242,-0.21446987036009582,0.08375935292771329,-0.1208963438341189,0.33184928556045545,-0.45274562939457436,0.21095294172633655,True
1,0.5,-0.1208963438341189,0.1693108599798242,-0.21446987036009582,0.08375935292771329,0.09357352652597692,0.3702366668399108,-0.2766631403139339,0.4638101933658877,True
1,1.0,-0.1208963438341189,0.1693108599798242,-0.21446987036009582,0.08375935292771329,0.30804339688607274,0.46682856908072207,-0.15878517219464933,0.7748719659667949,True
1,2.0,-0.1208963438341189,0.1693108599798242,-0.21446987036009582,0.08375935292771329,0.7369831376062643,0.7357606993166078,0.0012224382896565134,1.4727438369228723,False
2,0.0,-0.2117758727042393,0.190024146967647,-0.21446987036009582,0.08375935292771329,-0.2117758727042393,0.3724473280565881,-0.5842232007608275,0.16067145535234878,True
2,0.5,-0.2117758727042393,0.190024146967647,-0.21446987036009582,0.08375935292771329,0.10992893283590444,0.44649446217664585,-0.3365655293407414,0.5564233950125503,True
2,1.0,-0.2117758727042393,0.190024146967647,-0.21446987036009582,0.08375935292771329,0.4316337383760482,0.6174772728515389,-0.18584353447549068,1.049111011227587,True
2,2.0,-0.2117758727042393,0.190024146967647,-0.21446987036009582,0.08375935292771329,1.0750433494563356,1.0530725015036808,0.021970847952654804,2.1281158509600164,False
3,0.0,-0.0946899498335974,0.2070207030752258,-0.21446987036009582,0.08375935292771329,-0.0946899498335974,0.40576057802744253,-0.5004505278610399,0.3110706281938451,True
3,0.5,-0.0946899498335974,0.2070207030752258,-0.21446987036009582,0.08375935292771329,0.33424979088659423,0.521964185806013,-0.18771439491941877,0.8562139766926072,True
3,1.0,-0.0946899498335974,0.2070207030752258,-0.21446987036009582,0.08375935292771329,0.7631895316067859,0.771920659791564,-0.008731128184778059,1.53511019139835,True
3,2.0,-0.0946899498335974,0.2070207030752258,-0.21446987036009582,0.08375935292771329,1.6210690130471692,1.3745985159342637,0.24647049711290547,2.995667528981433,False
4,0.0,-0.2705616831683458,0.2141065932454829,-0.21446987036009582,0.08375935292771329,-0.2705616831683458,0.41964892276114646,-0.6902106059294922,0.14908723959280068,True
4,0.5,-0.2705616831683458,0.2141065932454829,-0.21446987036009582,0.08375935292771329,0.2656129927318938,0.586984220857325,-0.32137122812543123,0.8525972135892188,True
4,1.0,-0.2705616831683458,0.2141065932454829,-0.21446987036009582,0.08375935292771329,0.8017876686321335,0.921892752449086,-0.12010508381695251,1.7236804210812195,True
4,2.0,-0.2705616831683458,0.2141065932454829,-0.21446987036009582,0.08375935292771329,1.8741370204326127,1.6944702219126881,0.1796667985199245,3.568607242345301,False
5,0.0,-0.4418079440022363,0.3397020747046625,-0.21446987036009582,0.08375935292771329,-0.4418079440022363,0.6658160664211386,-1.1076240104233748,0.22400812241890228,True
5,0.5,-0.4418079440022363,0.3397020747046625,-0.21446987036009582,0.08375935292771329,0.20160166707805122,0.8281740183175272,-0.6265723512394761,1.0297756853955784,True
5,1.0,-0.4418079440022363,0.3397020747046625,-0.21446987036009582,0.08375935292771329,0.8450112781583388,1.1889304923128374,-0.34391921415449866,2.033941770471176,True
5,2.0,-0.4418079440022363,0.3397020747046625,-0.21446987036009582,0.08375935292771329,2.1318305003189137,2.0794926687275024,0.052337831591411366,4.211323169046416,False
