event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,-0.0511379788874966,0.1539008844725505,-0.01233283517361129,0.08166693580066216,-0.0511379788874966,0.30164573356619895,-0.35278371245369555,0.25050775467870234,True
0,0.5,-0.0511379788874966,0.1539008844725505,-0.01233283517361129,0.08166693580066216,-0.04497156130069095,0.3120825615778591,-0.35705412287855004,0.2671110002771681,True
0,1.0,-0.0511379788874966,0.1539008844725505,-0.01233283517361129,0.08166693580066216,-0.038805143713885305,0.3414844875362891,-0.38028963125017445,0.3026793438224038,True
0,2.0,-0.0511379788874966,0.1539008844725505,-0.01233283517361129,0.08166693580066216,-0.026472308540274016,0.439859267465876,-0.46633157600615,0.413386958925602,True
1,0.0,-0.2127353563866462,0.1430170341241972,-0.01233283517361129,0.08166693580066216,-0.2127353563866462,0.2803133868834265,-0.4930487432700727,0.0675780304967803,True
1,0.5,-0.2127353563866462,0.1430170341241972,-0.01233283517361129,0.08166693580066216,-0.20040252121303492,0.3227957582052299,-0.5231982794182648,0.12239323699219495,True
1,1.0,-0.2127353563866462,0.1430170341241972,-0.01233283517361129,0.08166693580066216,-0.18806968603942362,0.4255133622613799,-0.6135830483008036,0.2374436762219563,True
1,2.0,-0.2127353563866462,0.1430170341241972,-0.01233283517361129,0.08166693580066216,-0.16340401569220103,0.6989418439711309,-0.862345859663332,0.5355378282789298,True
2,0.0,-0.5208573543034472,0.134720256105538,-0.01233283517361129,0.08166693580066216,-0.5208573543034472,0.2640517019668545,-0.7849090562703016,-0.25680565233659264,False
2,0.5,-0.5208573543034472,0.134720256105538,-0.01233283517361129,0.08166693580066216,-0.5023581015430302,0.3568917080465219,-0.8592498095895521,-0.14546639349650825,False
2,1.0,-0.5208573543034472,0.134720256105538,-0.01233283517361129,0.08166693580066216,-0.48385884878261326,0.5480117345045431,-1.0318705832871564,0.06415288572192984,True
2,2.0,-0.5208573543034472,0.134720256105538,-0.01233283517361129,0.08166693580066216,-0.4468603432617794,0.9960409332371505,-1.44290127649893,0.549180589975371,True
3,0.0,-0.1399616848101338,0.1699704971440298,-0.01233283517361129,0.08166693580066216,-0.1399616848101338,0.3331421744022984,-0.47310385921243214,0.19318048959216458,True
3,0.5,-0.1399616848101338,0.1699704971440298,-0.01233283517361129,0.08166693580066216,-0.11529601446291121,0.46202785085145914,-0.5773238653143704,0.34673183638854793,True
3,1.0,-0.1399616848101338,0.1699704971440298,-0.01233283517361129,0.08166693580066216,-0.09063034411568863,0.721753292166512,-0.8123836362822006,0.6311229480508234,True
3,2.0,-0.1399616848101338,0.1699704971440298,-0.01233283517361129,0.08166693580066216,-0.04129900342124347,1.3231629279557071,-1.3644619313769506,1.2818639245344636,True
4,0.0,-0.7561598005009589,0.1197194047246301,-0.01233283517361129,0.08166693580066216,-0.7561598005009589,0.23465003326027498,-0.9908098337612339,-0.5215097672406839,False
4,0.5,-0.7561598005009589,0.1197194047246301,-0.01233283517361129,0.08166693580066216,-0.7253277125669306,0.46389120994770555,-1.1892189225146361,-0.2614365026192251,False
4,1.0,-0.7561598005009589,0.1197194047246301,-0.01233283517361129,0.08166693580066216,-0.6944956246329024,0.8340253619284251,-1.5285209865613276,0.13952973729552276,True
4,2.0,-0.7561598005009589,0.1197194047246301,-0.01233283517361129,0.08166693580066216,-0.632831448764846,1.6177797449072655,-2.2506111936721114,0.9849482961424195,True
5,0.0,-0.2926371104332746,0.1243541933831857,-0.01233283517361129,0.08166693580066216,-0.2926371104332746,0.24373421903104395,-0.5363713294643185,-0.04890289140223067,False
5,0.5,-0.2926371104332746,0.1243541933831857,-0.01233283517361129,0.08166693580066216,-0.2556386049124407,0.5385164151349132,-0.7941550200473539,0.2828778102224725,True
5,1.0,-0.2926371104332746,0.1243541933831857,-0.01233283517361129,0.08166693580066216,-0.2186400993916069,0.990848428821994,-1.2094885282136008,0.7722083294303871,True
5,2.0,-0.2926371104332746,0.1243541933831857,-0.01233283517361129,0.08166693580066216,-0.14464308834993914,1.9362084926515628,-2.080851581001502,1.7915654043016236,True
