event_time,M_sensitivity,att_original,se_original,pre_trend_slope_b_hat,pre_trend_slope_se,att_trend_adjusted,ci_half_width,ci_low,ci_high,ci_includes_zero
0,0.0,-0.151274717192019,0.2083384701929057,0.008881877197250221,0.03594525870174278,-0.151274717192019,0.4083434015780951,-0.5596181187701141,0.2570686843860761,True
0,0.5,-0.151274717192019,0.2083384701929057,0.008881877197250221,0.03594525870174278,-0.1557156557906441,0.40986001219346657,-0.5655756679841106,0.2541443564028225,True
0,1.0,-0.151274717192019,0.2083384701929057,0.008881877197250221,0.03594525870174278,-0.1601565943892692,0.41437654077397496,-0.5745331351632441,0.25421994638470574,True
0,2.0,-0.151274717192019,0.2083384701929057,0.008881877197250221,0.03594525870174278,-0.16903847158651944,0.4319706811093948,-0.6010091526959143,0.2629322095228753,True
1,0.0,0.1627456864234148,0.1889290619389806,0.008881877197250221,0.03594525870174278,0.1627456864234148,0.370300961400402,-0.20755527497698717,0.5330466478238167,True
1,0.5,0.1627456864234148,0.1889290619389806,0.008881877197250221,0.03594525870174278,0.15386380922616458,0.3769434784493535,-0.22307966922318892,0.5308072876755181,True
1,1.0,0.1627456864234148,0.1889290619389806,0.008881877197250221,0.03594525870174278,0.14498193202891435,0.3962034045030494,-0.25122147247413507,0.5411853365319638,True
1,2.0,0.1627456864234148,0.1889290619389806,0.008881877197250221,0.03594525870174278,0.12721817763441393,0.46533874211915977,-0.3381205644847458,0.5925569197535737,True
2,0.0,-0.2010622564363056,0.1134784601247118,0.008881877197250221,0.03594525870174278,-0.2010622564363056,0.22241778184443511,-0.4234800382807407,0.021355525408129516,True
2,0.5,-0.2010622564363056,0.1134784601247118,0.008881877197250221,0.03594525870174278,-0.21438507223218092,0.24624730156152022,-0.46063237379370114,0.0318622293293393,True
2,1.0,-0.2010622564363056,0.1134784601247118,0.008881877197250221,0.03594525870174278,-0.22770788802805625,0.30682556129423916,-0.5345334493222954,0.07911767326618291,True
2,2.0,-0.2010622564363056,0.1134784601247118,0.008881877197250221,0.03594525870174278,-0.2543535196198069,0.47765959763444876,-0.7320131172542557,0.22330607801464186,True
3,0.0,-0.0370304294956262,0.2207160295364441,0.008881877197250221,0.03594525870174278,-0.0370304294956262,0.4326034178914304,-0.4696338473870566,0.39557298839580424,True
3,0.5,-0.0370304294956262,0.2207160295364441,0.008881877197250221,0.03594525870174278,-0.05479418389012665,0.4549725847752725,-0.5097667686653992,0.4001784008851459,True
3,1.0,-0.0370304294956262,0.2207160295364441,0.008881877197250221,0.03594525870174278,-0.07255793828462709,0.5162974530968824,-0.5888553913815094,0.44373951481225526,True
3,2.0,-0.0370304294956262,0.2207160295364441,0.008881877197250221,0.03594525870174278,-0.10808544707362797,0.7105034051876649,-0.8185888522612929,0.6024179581140369,True
4,0.0,-0.8542395436393605,0.1544434469714421,0.008881877197250221,0.03594525870174278,-0.8542395436393605,0.30270915606402654,-1.156948699703387,-0.5515303875753339,False
4,0.5,-0.8542395436393605,0.1544434469714421,0.008881877197250221,0.03594525870174278,-0.876444236632486,0.3502216908423459,-1.226665927474832,-0.5262225457901402,False
4,1.0,-0.8542395436393605,0.1544434469714421,0.008881877197250221,0.03594525870174278,-0.8986489296256116,0.4644592893364296,-1.3631082189620412,-0.434189640289182,False
4,2.0,-0.8542395436393605,0.1544434469714421,0.008881877197250221,0.03594525870174278,-0.9430583156118627,0.7668058595946039,-1.7098641752064667,-0.1762524560172588,False
5,0.0,-0.3128677346502617,0.2246493207639174,0.008881877197250221,0.03594525870174278,-0.3128677346502617,0.4403126686972781,-0.7531804033475398,0.1274449340470164,True
5,0.5,-0.3128677346502617,0.2246493207639174,0.008881877197250221,0.03594525870174278,-0.33951336624201234,0.48841324879475284,-0.8279266150367652,0.1488998825527405,True
5,1.0,-0.3128677346502617,0.2246493207639174,0.008881877197250221,0.03594525870174278,-0.36615899783376304,0.610380428705757,-0.9765394265395201,0.244221430871994,True
5,2.0,-0.3128677346502617,0.2246493207639174,0.008881877197250221,0.03594525870174278,-0.41945026101726435,0.953221554698664,-1.3726718157159283,0.5337712936813996,True
