state,state_abbr,year,relinquishment,violent,violenth,violentpartial,dealer,dealerh,residential,theft,ammlicense,ammrecords,permit,permith,registration,registrationh,defactoreg,defactoregh,ammpermit,age21handgunsale,age18longgunsale,age21longgunsale,age21handgunpossess,age18longgunpossess,age21longgunpossess,loststolen,amm18,amm21h,universal,universalh,gunshow,gunshowh,universalpermit,universalpermith,ammbackground,statechecks,statechecksh,waiting,waitingh,assault,onefeature,assaultlist,assaultregister,assaulttransfer,magazine,tenroundlimit,magazinepreowned,onepermonth,gvro,gvrolawenforcement,college,collegeconcealed,elementary,opencarryh,opencarryl,opencarrypermith,opencarrypermitl,permitconcealed,mayissue,nosyg,locked,liability,mcdv,mcdvsurrender,mcdvremovalallowed,mcdvremovalrequired,incidentremoval,incidentall,dvro,exparte,dvrosurrender,expartesurrender,dvroremoval,stalking,lawtotal,population,violent_crime,violent_rate,property_crime,property_rate,unemployment_rate,pcpi_nominal,pcpi_real_2024,ln_population,ln_pcpi_real_2024,firearm_suicides,total_suicides,firearm_homicides,total_homicides,fss,per_capita_alcohol_ethanol_14plus,nonfirearm_suicides,firearm_suicide_rate,nonfirearm_suicide_rate,total_suicide_rate,firearm_suicide_share,ln_firearm_suicide_rate,ln_nonfirearm_suicide_rate,ln_total_suicide_rate,logit_firearm_suicide_share,stack_id,treated_unit_state,treated_unit_abbr,adoption_year,treated_state,event_time,post,state_stack_fe,year_stack_fe
Colorado,CO,2022,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,29,5853355.0,29221.0,499.2179698651457,185350.0,3166.560032665027,3.0666666666666664,76544.0,82055.86065281757,15.582525559090817,11.315155521789665,691,1293,304.0,417,0.53442,3.0801,602,11.805195481907385,10.28469997121309,22.089895453120477,0.534416086620263,2.4693864557332645,2.331629196899482,3.095572877884485,0.13777548574000276,AL_2023,Alabama,AL,2023,0,-1,0,CO_AL_2023,2022_AL_2023
Colorado,CO,2023,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,35,5912240.0,28633.0,484.3003666968865,172509.0,2917.8280989946284,3.283333333333333,79746.0,82100.18936144377,15.592535336185392,11.315695601910988,721,1297,261.0,368,0.5559,3.0723,576,12.195039443594982,9.742500304453134,21.937539748048117,0.5558982266769468,2.5018489355967666,2.277523693616632,3.0886550488678735,0.22435703850481187,AL_2023,Alabama,AL,2023,0,0,0,CO_AL_2023,2023_AL_2023
Illinois,IL,2018,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,31,12724685.0,52343.0,411.3500648542577,246679.0,1938.5862989928632,4.391666666666667,56077.0,70056.8981306879,16.359054365674034,11.157063021302136,573,1488,784.0,994,0.385080645,2.3892,915,4.503058425414853,7.19074774739021,11.693806172805063,0.3850806451612903,1.5069750667869575,1.9741848744337724,2.4599141028155747,-0.46771242754514,AL_2023,Alabama,AL,2023,0,-5,0,IL_AL_2023,2018_AL_2023
Illinois,IL,2019,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,35,12667017.0,52601.0,415.2595674261746,235033.0,1855.4723657511472,3.975,57738.0,70847.33708082355,16.354512086534815,11.168282659103005,540,1439,791.0,979,0.375260598,2.4051,899,4.263039988025595,7.09717212821298,11.360212116238575,0.3752605976372481,1.452325514920368,1.9611044330833372,2.4309969633701844,-0.5093444163113249,AL_2023,Alabama,AL,2023,0,-4,0,IL_AL_2023,2019_AL_2023
Illinois,IL,2020,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,35,12795348.0,53612.0,418.9960288692422,196287.0,1534.049718694638,9.333333333333334,61542.0,74580.58232432543,16.36459222533043,11.219635461751745,543,1362,1167.0,1353,0.398678414,2.3862,819,4.243729830560294,6.400763777585416,10.64449360814571,0.3986784140969163,1.4477962052549536,1.857978417903784,2.365981738203033,-0.4106646916226203,AL_2023,Alabama,AL,2023,0,-3,0,IL_AL_2023,2020_AL_2023
Illinois,IL,2021,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,35,12703354.0,43739.0,344.3106442597758,176763.0,1391.4671668600276,6.1000000000000005,66612.0,77114.805337916,16.3573766110502,11.253050568845588,656,1454,1292.0,1487,0.45117,2.4749,798,5.16399054926754,6.281805576700452,11.445796125967993,0.4511691884456671,1.643644257180712,1.8392480846392198,2.438495813793174,-0.19581227391221623,AL_2023,Alabama,AL,2023,0,-2,0,IL_AL_2023,2021_AL_2023
Illinois,IL,2022,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,35,12609577.0,36555.0,289.89870159799966,212960.0,1688.8750510822051,4.566666666666666,68352.0,73273.96252275014,16.349967162572753,11.20196060679923,676,1533,1091.0,1312,0.44097,2.4219,857,5.361004576124956,6.796421481862556,12.157426057987513,0.4409654272667971,1.6810149629290951,1.9178665021457626,2.4987623856975567,-0.2370887314292523,AL_2023,Alabama,AL,2023,0,-1,0,IL_AL_2023,2022_AL_2023
Illinois,IL,2023,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,41,12633389.0,39022.0,308.8799054632134,215682.0,1707.2378599281633,4.4750000000000005,71716.0,73833.13495655332,16.35185378770729,11.209562892976916,688,1567,962.0,1171,0.43906,2.3934,879,5.4458862938519506,6.9577529829881755,12.403639276840126,0.4390555201021059,1.696695079754336,1.9412927887192128,2.5187958097990264,-0.24483824600890336,AL_2023,Alabama,AL,2023,0,0,0,IL_AL_2023,2023_AL_2023
Louisiana,LA,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4664450.0,25314.0,542.7006399468319,152996.0,3280.043735059868,4.825,45465.0,56799.34507038046,15.355480486063186,10.94728007419172,467,720,497.0,598,0.648611111,2.5508,253,10.011898508934602,5.4240049737911225,15.435903482725724,0.6486111111111111,2.304772549658737,1.6926764263131082,2.7373438214369963,0.6120355256975039,AL_2023,Alabama,AL,2023,0,-5,0,LA_AL_2023,2018_AL_2023
Louisiana,LA,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,8,4658285.0,26072.0,559.6909592264105,148429.0,3186.344330585184,4.633333333333334,47015.0,57689.6940118279,15.354157912612658,10.962833823229726,446,704,542.0,650,0.633522727,2.5623,258,9.57433905396514,5.538519004311673,15.112858058276812,0.6335227272727273,2.2601304178305135,1.7135310460786266,2.716207377906717,0.5465437063680699,AL_2023,Alabama,AL,2023,0,-4,0,LA_AL_2023,2019_AL_2023
