term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,stack_id,treated_state,adoption_year,outcome,controls_spec,model
post,0.5409121763763297,0.15311483753549995,3.5327221390344894,0.00041130451724564386,0.24080709480674983,0.8410172579459096,252,28,42,AK_2003,Alaska,2003,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.6987096936529497,0.13295534343847,5.2552208552362805,1.47846942368578e-07,0.4381172205135485,0.9593021667923508,252,28,42,AK_2003,Alaska,2003,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,1.2396218700292827,0.20104648730086108,6.165846947498363,7.010687076654961e-10,0.845570754919595,1.6336729851389704,252,28,42,AK_2003,Alaska,2003,total_suicide_rate,core_controls,treated_state_average_post
post,0.0001858740631459925,0.007198834664812437,0.025820021128494047,0.9794008926205362,-0.013923841879886384,0.014295590006178369,252,28,42,AK_2003,Alaska,2003,firearm_suicide_share,core_controls,treated_state_average_post
post,0.06618057580624667,0.01971790184170432,3.356370081236105,0.0007897281510907674,0.027533488196506202,0.10482766341598715,252,28,42,AK_2003,Alaska,2003,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.06933189466060007,0.023524394162419117,2.9472340151211935,0.0032063045753744335,0.023224082102258597,0.11543970721894153,252,28,42,AK_2003,Alaska,2003,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.0626208762344088,0.014007717532548886,4.470455382106361,7.805322653755807e-06,0.03516574987061299,0.09007600259820461,252,28,42,AK_2003,Alaska,2003,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.00210897531137561,0.0309893072938959,-0.06805493557421415,0.9457419033442482,-0.06284801760741157,0.058630066984660355,252,28,42,AK_2003,Alaska,2003,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.2427233212670965,0.19764755856535762,1.2280613179789586,0.2194239505401927,-0.14466589352100445,0.6301125360551975,90,15,26,AL_2023,Alabama,2023,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.3575171738263957,0.11262300297281505,3.1744596076229046,0.0015011578263873122,0.1367760879996782,0.5782582596531132,90,15,26,AL_2023,Alabama,2023,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.6002404950934938,0.2713572466067905,2.2119936084230343,0.02696710656745195,0.06838029174418436,1.132100698442803,90,15,26,AL_2023,Alabama,2023,total_suicide_rate,core_controls,treated_state_average_post
post,-0.01159787612878323,0.004242819746570493,-2.7335302514696487,0.006265936709922195,-0.019913802832061397,-0.0032819494255050645,90,15,26,AL_2023,Alabama,2023,firearm_suicide_share,core_controls,treated_state_average_post
post,0.012346878893405109,0.01970027529689363,0.6267363631894008,0.5308320635635061,-0.026265660688506404,0.050959418475316626,90,15,26,AL_2023,Alabama,2023,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.06395235948788017,0.015479413270302354,4.131445964465229,3.6048843742639664e-05,0.03361270947808755,0.09429200949767277,90,15,26,AL_2023,Alabama,2023,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.03201540692952442,0.016297982871951798,1.9643784866544254,0.04948621580766208,7.136050049889875e-05,0.06395945335854994,90,15,26,AL_2023,Alabama,2023,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.051598136445384725,0.018611752994804498,-2.7723415660947377,0.005565460421354427,-0.08807717231520154,-0.01511910057556791,90,15,26,AL_2023,Alabama,2023,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,-0.584043910233497,0.2127549445885754,-2.745148468172707,0.006048352768490138,-1.0010436016271047,-0.16704421883988918,120,15,28,AR_2021,Arkansas,2021,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.37159273020120176,0.13870876265821844,2.678942001067479,0.007385518529225819,0.09972355539109362,0.64346190501131,120,15,28,AR_2021,Arkansas,2021,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.21245118003229846,0.25306216829035033,-0.8395216932961037,0.40117662104062024,-0.7084530298813851,0.28355066981678817,120,15,28,AR_2021,Arkansas,2021,total_suicide_rate,core_controls,treated_state_average_post
post,-0.02885612871069116,0.004548117205377453,-6.344631725095651,2.2295814739813823e-10,-0.03777043843323097,-0.019941818988151352,120,15,28,AR_2021,Arkansas,2021,firearm_suicide_share,core_controls,treated_state_average_post
post,-0.06481504905566793,0.017269630550682574,-3.7531230830590148,0.00017464504914941134,-0.09866352493500577,-0.030966573176330087,120,15,28,AR_2021,Arkansas,2021,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.05418966006143731,0.01923386967514889,2.8174080919063846,0.0048412968474135535,0.016491275498145483,0.09188804462472913,120,15,28,AR_2021,Arkansas,2021,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.011732146164872509,0.013328706781625338,-0.8802163898635827,0.37874209627893574,-0.03785641145685817,0.014392119127113153,120,15,28,AR_2021,Arkansas,2021,ln_total_suicide_rate,core_controls,treated_state_average_post
post,-0.1190007436050433,0.018213856632306687,-6.533528071916777,6.423814655108458e-11,-0.1546999026043644,-0.08330158460572219,120,15,28,AR_2021,Arkansas,2021,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.23123417230880822,0.20653249629395692,1.1196018856988659,0.26288345165836535,-0.17356952042734736,0.6360378650449638,288,32,46,AZ_2010,Arizona,2010,firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.21203149913687686,0.18238961166351014,-1.1625196040663375,0.24502446626092056,-0.5695151379973566,0.145452139723603,288,32,46,AZ_2010,Arizona,2010,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.019202673171935948,0.3384556697583522,0.05673615450332422,0.9547553732597501,-0.6441704395544343,0.6825757858983061,288,32,46,AZ_2010,Arizona,2010,total_suicide_rate,core_controls,treated_state_average_post
post,0.01096975905823064,0.00652487434313113,1.6812215042545198,0.09271989806369042,-0.0018189946543063756,0.023758512770767654,288,32,46,AZ_2010,Arizona,2010,firearm_suicide_share,core_controls,treated_state_average_post
post,0.008534774406913975,0.02398611276143153,0.3558214910353238,0.721974253516733,-0.03847800660549182,0.05554755541931977,288,32,46,AZ_2010,Arizona,2010,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,-0.035924035192796196,0.02700929579683526,-1.330061896578788,0.18349787849043508,-0.0888622549545933,0.01701418456900091,288,32,46,AZ_2010,Arizona,2010,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,-0.009860781011376413,0.020538054763189647,-0.4801224422212511,0.6311403312060635,-0.05011536834722812,0.030393806324475296,288,32,46,AZ_2010,Arizona,2010,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.044360531144502204,0.026977570266674585,1.6443486461529415,0.10010420630354215,-0.008515506578179982,0.09723656886718439,288,32,46,AZ_2010,Arizona,2010,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.40997735341298175,0.304909369519871,1.344587586988741,0.17875845415360525,-0.18764501084596547,1.007599717671929,90,15,26,FL_2023,Florida,2023,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.1187974692220129,0.2418813438172864,0.4911394460903556,0.623327823812968,-0.35528996465986845,0.5928849031038943,90,15,26,FL_2023,Florida,2023,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.5287748226349958,0.4956147309759063,1.0669069936516908,0.28601383644101663,-0.44263005007778056,1.500179695347772,90,15,26,FL_2023,Florida,2023,total_suicide_rate,core_controls,treated_state_average_post
post,0.011762154825627065,0.006533836404947277,1.8001912041631498,0.07183045222295707,-0.0010441645280695987,0.02456847417932373,90,15,26,FL_2023,Florida,2023,firearm_suicide_share,core_controls,treated_state_average_post
post,0.060100000183398984,0.03275445103569417,1.8348651338379935,0.06652567487231406,-0.004098723846561576,0.12429872421335955,90,15,26,FL_2023,Florida,2023,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.012347218535385413,0.030765073496081482,0.4013388278418404,0.6881706804361797,-0.04795232551693429,0.07264676258770511,90,15,26,FL_2023,Florida,2023,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.033881858861085745,0.030019216283633767,1.1286723324471952,0.2590360849217046,-0.02495580505483644,0.09271952277700793,90,15,26,FL_2023,Florida,2023,ln_total_suicide_rate,core_controls,treated_state_average_post
post,0.04784328555528973,0.025182650995935366,1.899851034865707,0.05745267133601616,-0.0015147103967435849,0.09720128150732305,90,15,26,FL_2023,Florida,2023,logit_firearm_suicide_share,core_controls,treated_state_average_post
post,0.25821807058900764,0.36301001010919876,0.7113249315393034,0.476882905446386,-0.4532815492250219,0.9697176904030371,105,15,27,GA_2022,Georgia,2022,firearm_suicide_rate,core_controls,treated_state_average_post
post,0.144187228438258,0.26075927547432165,0.5529514843756992,0.5802966318740757,-0.36690095149141233,0.6552754083679284,105,15,27,GA_2022,Georgia,2022,nonfirearm_suicide_rate,core_controls,treated_state_average_post
post,0.40240529902727007,0.4741668358135353,0.8486576213978718,0.39607183389355194,-0.5269616991672591,1.3317722972217991,105,15,27,GA_2022,Georgia,2022,total_suicide_rate,core_controls,treated_state_average_post
post,0.0007062271649748495,0.009968894237115361,0.07084307930015778,0.9435226456103095,-0.018832805539771257,0.020245259869720957,105,15,27,GA_2022,Georgia,2022,firearm_suicide_share,core_controls,treated_state_average_post
post,0.028743733899396388,0.03804235436200079,0.7555718982552647,0.44990590988655943,-0.045819280650125166,0.10330674844891793,105,15,27,GA_2022,Georgia,2022,ln_firearm_suicide_rate,core_controls,treated_state_average_post
post,0.02307328205015234,0.03469629963579486,0.6650069976438786,0.5060460173546657,-0.04493146523600558,0.09107802933631026,105,15,27,GA_2022,Georgia,2022,ln_nonfirearm_suicide_rate,core_controls,treated_state_average_post
