term,coefficient,std_error,t_stat,p_value_normal,ci95_low,ci95_high,nobs,clusters,rank,cohort_year,treated_states,outcome,controls_spec,model
post,0.5409121763763297,0.15311483753549995,3.5327221390344894,0.00041130451724564386,0.24080709480674983,0.8410172579459096,252,28,42,2003,Alaska,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.6987096936529497,0.13295534343847,5.2552208552362805,1.47846942368578e-07,0.4381172205135485,0.9593021667923508,252,28,42,2003,Alaska,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,1.2396218700292827,0.20104648730086108,6.165846947498363,7.010687076654961e-10,0.845570754919595,1.6336729851389704,252,28,42,2003,Alaska,total_suicide_rate,core_controls,cohort_year_average_post
post,0.0001858740631459925,0.007198834664812437,0.025820021128494047,0.9794008926205362,-0.013923841879886384,0.014295590006178369,252,28,42,2003,Alaska,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.06618057580624667,0.01971790184170432,3.356370081236105,0.0007897281510907674,0.027533488196506202,0.10482766341598715,252,28,42,2003,Alaska,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.06933189466060007,0.023524394162419117,2.9472340151211935,0.0032063045753744335,0.023224082102258597,0.11543970721894153,252,28,42,2003,Alaska,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.0626208762344088,0.014007717532548886,4.470455382106361,7.805322653755807e-06,0.03516574987061299,0.09007600259820461,252,28,42,2003,Alaska,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,-0.00210897531137561,0.0309893072938959,-0.06805493557421415,0.9457419033442482,-0.06284801760741157,0.058630066984660355,252,28,42,2003,Alaska,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,0.23123417230880822,0.20653249629395692,1.1196018856988659,0.26288345165836535,-0.17356952042734736,0.6360378650449638,288,32,46,2010,Arizona,firearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.21203149913687686,0.18238961166351014,-1.1625196040663375,0.24502446626092056,-0.5695151379973566,0.145452139723603,288,32,46,2010,Arizona,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.019202673171935948,0.3384556697583522,0.05673615450332422,0.9547553732597501,-0.6441704395544343,0.6825757858983061,288,32,46,2010,Arizona,total_suicide_rate,core_controls,cohort_year_average_post
post,0.01096975905823064,0.00652487434313113,1.6812215042545198,0.09271989806369042,-0.0018189946543063756,0.023758512770767654,288,32,46,2010,Arizona,firearm_suicide_share,core_controls,cohort_year_average_post
post,0.008534774406913975,0.02398611276143153,0.3558214910353238,0.721974253516733,-0.03847800660549182,0.05554755541931977,288,32,46,2010,Arizona,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.035924035192796196,0.02700929579683526,-1.330061896578788,0.18349787849043508,-0.0888622549545933,0.01701418456900091,288,32,46,2010,Arizona,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.009860781011376413,0.020538054763189647,-0.4801224422212511,0.6311403312060635,-0.05011536834722812,0.030393806324475296,288,32,46,2010,Arizona,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,0.044360531144502204,0.026977570266674585,1.6443486461529415,0.10010420630354215,-0.008515506578179982,0.09723656886718439,288,32,46,2010,Arizona,logit_firearm_suicide_share,core_controls,cohort_year_average_post
post,-0.14555772469314382,0.15178192634229995,-0.9589924716390853,0.33756253777758727,-0.44305030032405174,0.1519348509377641,288,32,46,2011,Wyoming,firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.9068170610940869,0.13837960262337567,6.553112192135342,5.6350147577696076e-11,0.6355930399522706,1.1780410822359033,288,32,46,2011,Wyoming,nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,0.7612593364009579,0.23849045631696728,3.191990774629578,0.0014129584548939517,0.293818042019702,1.2287006307822137,288,32,46,2011,Wyoming,total_suicide_rate,core_controls,cohort_year_average_post
post,-0.03565715932122118,0.0054067859637981375,-6.594890117709206,4.2557094017764527e-11,-0.04625445981026553,-0.025059858832176832,288,32,46,2011,Wyoming,firearm_suicide_share,core_controls,cohort_year_average_post
post,-0.06454409008717671,0.0165861970994389,-3.8914339254632515,9.965352868922662e-05,-0.09705303640207695,-0.03203514377227647,288,32,46,2011,Wyoming,ln_firearm_suicide_rate,core_controls,cohort_year_average_post
post,0.0950648716737584,0.018628114715753093,5.103300743223662,3.3377992702085937e-07,0.05855376683088234,0.13157597651663447,288,32,46,2011,Wyoming,ln_nonfirearm_suicide_rate,core_controls,cohort_year_average_post
post,-0.008123085111016778,0.013157578676208134,-0.6173692980232864,0.5369911679505207,-0.03391193931638472,0.017665769094351164,288,32,46,2011,Wyoming,ln_total_suicide_rate,core_controls,cohort_year_average_post
post,-0.15750816114807567,0.0221821308777662,-7.10067765878844,1.241466300763174e-12,-0.20098513766849743,-0.11403118462765391,288,32,46,2011,Wyoming,logit_firearm_suicide_share,core_controls,cohort_year_average_post
