state_abbr,adoption_year,dropped_reason
IL,,had universalpermit==1 at some point
CA,,had universalpermit==1 at some point
CT,,had universalpermit==1 at some point
HI,,had universalpermit==1 at some point
RI,,had universalpermit==1 at some point
MA,,had universalpermit==1 at some point
