policy,spec_name,outcome,outcome_label,outcome_stratum,bandwidth_km,donut_km,fe,cluster,covariates,drop_spillover_pairs,beta,se,z,n,n_counties,n_pairs,n_treated_post,n_straddling_pair_years
age21_handgun,donut_10km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-31.727471743595267,30.3875116572501,-1.0440957489859315,31104,1944,101,6263,594
age21_handgun,donut_10km,county_murder_rate,"County murder rate (per 100,000)",primary,100,10,pair_year,state,,0,-0.4705505546814196,0.34606767375874115,-1.3597067578448858,31104,1944,101,6263,594
age21_handgun,donut_10km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,10,pair_year,state,,0,-278.5070813905424,77.06589012743089,-3.6138826260232912,31104,1944,101,6263,594
age21_handgun,donut_10km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,10,pair_year,state,,0,-60.97251843694073,14.527833982486534,-4.19694487908134,31104,1944,101,6263,594
age21_handgun,donut_10km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,10,pair_year,state,,0,-24.498613216228218,6.090745076951739,-4.022268689086088,31104,1944,101,6263,594
age21_handgun,donut_10km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,-0.17792026695230712,0.23740453440908002,-0.7494392109871267,29160,1944,101,5818,553
age21_handgun,donut_10km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,0.00024145555980141533,0.5959410094181188,0.00040516688058969853,29160,1944,101,5818,553
age21_handgun,donut_10km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,10,pair_year,state,,0,0.17816172251210893,0.3690896905461964,0.48270576793531345,29160,1944,101,5818,553
age21_handgun,donut_10km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,10,pair_year,state,,0,-0.8402849651135499,0.41825676320728383,-2.009017041756987,29136,1944,101,5804,552
age21_handgun,donut_25km,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,25,pair_year,state,,0,-33.00645166171504,33.4592913751643,-0.9864659502685886,28688,1793,101,5552,594
age21_handgun,donut_25km,county_murder_rate,"County murder rate (per 100,000)",primary,100,25,pair_year,state,,0,-0.5051230575972775,0.3484714237535223,-1.4495393973956288,28688,1793,101,5552,594
age21_handgun,donut_25km,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,25,pair_year,state,,0,-288.79699612513934,85.26732774609715,-3.386959621686492,28688,1793,101,5552,594
age21_handgun,donut_25km,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,25,pair_year,state,,0,-54.774751439844586,17.451907721254333,-3.1386111085801525,28688,1793,101,5552,594
age21_handgun,donut_25km,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,25,pair_year,state,,0,-22.343906345765063,5.695673454071964,-3.9229612662908027,28688,1793,101,5552,594
age21_handgun,donut_25km,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,25,pair_year,state,,0,-0.19481054775020756,0.23238878052494485,-0.8382958390252252,26895,1793,101,5156,553
age21_handgun,donut_25km,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,25,pair_year,state,,0,-0.03264866114349619,0.5910656399504182,-0.055236946519569195,26895,1793,101,5156,553
age21_handgun,donut_25km,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,25,pair_year,state,,0,0.1621618866067116,0.37005312339942686,0.43821245208536663,26895,1793,101,5156,553
age21_handgun,donut_25km,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,25,pair_year,state,,0,-0.8705161636654056,0.4279124447965158,-2.034332430035682,26872,1793,101,5143,552
age21_handgun,fe_twoway,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,twoway,state,,0,-43.75502986753764,65.3921346330358,-0.669117625737099,31248,1953,101,6349,594
age21_handgun,fe_twoway,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,twoway,state,,0,-0.9214252651091567,0.60621213965244,-1.5199716482705838,31248,1953,101,6349,594
age21_handgun,fe_twoway,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,twoway,state,,0,-200.30111804341783,155.90383861780967,-1.2847734848559171,31248,1953,101,6349,594
age21_handgun,fe_twoway,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,twoway,state,,0,-62.44057769617966,41.529948269937925,-1.5035072350759031,31248,1953,101,6349,594
age21_handgun,fe_twoway,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,twoway,state,,0,-20.460622355594527,10.394555561487673,-1.968397997832838,31248,1953,101,6349,594
age21_handgun,fe_twoway,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,twoway,state,,0,-0.14169791276253113,0.3143269658917814,-0.45079782563522036,29295,1953,101,5898,553
age21_handgun,fe_twoway,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,twoway,state,,0,0.010217349009248778,0.743194110424593,0.013747887484484397,29295,1953,101,5898,553
age21_handgun,fe_twoway,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,twoway,state,,0,0.1519152617717791,0.47422277566222387,0.3203457732700385,29295,1953,101,5898,553
age21_handgun,fe_twoway,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,twoway,state,,0,-1.090975388977803,0.2980639620071253,-3.6602056204021167,29271,1953,101,5884,552
age21_handgun,cluster_pair,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,state_pair,,0,-31.284080648566377,41.98352508444944,-0.745151356053089,31248,1953,101,6349,594
age21_handgun,cluster_pair,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,state_pair,,0,-0.4642493706442676,0.4187185768969468,-1.108738413482253,31248,1953,101,6349,594
age21_handgun,cluster_pair,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,state_pair,,0,-269.0219050902259,95.51228661327889,-2.816620925216383,31248,1953,101,6349,594
age21_handgun,cluster_pair,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,pair_year,state_pair,,0,-56.51548529669202,20.17741072458624,-2.8009285268613637,31248,1953,101,6349,594
age21_handgun,cluster_pair,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,pair_year,state_pair,,0,-23.558103469029383,8.822767735396303,-2.670148889278359,31248,1953,101,6349,594
age21_handgun,cluster_pair,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,pair_year,state_pair,,0,-0.18905706051431131,0.2709892293322858,-0.6976552572961872,29295,1953,101,5898,553
age21_handgun,cluster_pair,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,pair_year,state_pair,,0,-0.01099115317635264,0.6771534540494958,-0.01623140679652984,29295,1953,101,5898,553
age21_handgun,cluster_pair,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,pair_year,state_pair,,0,0.17806590733795796,0.42811672127059974,0.41592841038649325,29295,1953,101,5898,553
age21_handgun,cluster_pair,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,pair_year,state_pair,,0,-0.8196488386983132,0.48320726703648176,-1.6962676156036172,29271,1953,101,5884,552
age21_handgun,cluster_twoway,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,twoway_state_year,,0,-31.284080648566377,31.774459106376483,-0.9845668983327651,31248,1953,101,6349,594
age21_handgun,cluster_twoway,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,twoway_state_year,,0,-0.4642493706442676,0.5187684630284951,-0.8949066948558265,31248,1953,101,6349,594
age21_handgun,cluster_twoway,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,twoway_state_year,,0,-269.0219050902259,102.65310687526203,-2.620689361278908,31248,1953,101,6349,594
age21_handgun,cluster_twoway,county_burglary_rate,"County burglary rate (per 100,000) [placebo]",primary,100,0,pair_year,twoway_state_year,,0,-56.51548529669202,13.913555494060601,-4.06190102312937,31248,1953,101,6349,594
age21_handgun,cluster_twoway,county_motor_vehicle_theft_rate,"County motor vehicle theft rate (per 100,000) [placebo]",primary,100,0,pair_year,twoway_state_year,,0,-23.558103469029383,6.725825625343483,-3.502633696041783,31248,1953,101,6349,594
age21_handgun,cluster_twoway,state_firearm_suicide_rate,"State firearm suicide rate (per 100,000)",secondary,100,0,pair_year,twoway_state_year,,0,-0.18905706051431131,0.3048623560296223,-0.6201390784237768,29295,1953,101,5898,553
age21_handgun,cluster_twoway,state_total_suicide_rate,"State total suicide rate (per 100,000)",secondary,100,0,pair_year,twoway_state_year,,0,-0.01099115317635264,0.7999384452359377,-0.013739998673411498,29295,1953,101,5898,553
age21_handgun,cluster_twoway,state_nonfirearm_suicide_rate,"State non-firearm suicide rate (per 100,000) [substitution]",secondary,100,0,pair_year,twoway_state_year,,0,0.17806590733795796,0.513431383485098,0.34681539357659114,29295,1953,101,5898,553
age21_handgun,cluster_twoway,state_firearm_homicide_rate,"State firearm homicide rate (per 100,000)",secondary,100,0,pair_year,twoway_state_year,,0,-0.8196488386983132,0.4259037616329083,-1.924493072227849,29271,1953,101,5884,552
age21_handgun,with_covariates,county_violent_crime_rate,"County violent crime rate (per 100,000)",primary,100,0,pair_year,state,unemployment_rate;poverty_pct_all_ages;share_white_nh;share_black_nh;share_hispanic;share_male;share_age_15_24;share_age_25_44;share_bachelors_plus;imprisonment_rate;state_sworn_officers_per_100k;alcohol_per_capita_ethanol_gallons,0,-25.854686986029257,34.19726255035832,-0.7560455152793613,18154,1824,99,3635,346
age21_handgun,with_covariates,county_murder_rate,"County murder rate (per 100,000)",primary,100,0,pair_year,state,unemployment_rate;poverty_pct_all_ages;share_white_nh;share_black_nh;share_hispanic;share_male;share_age_15_24;share_age_25_44;share_bachelors_plus;imprisonment_rate;state_sworn_officers_per_100k;alcohol_per_capita_ethanol_gallons,0,0.05953829120977941,0.8920942533367866,0.06673991115521995,18154,1824,99,3635,346
age21_handgun,with_covariates,county_property_crime_rate,"County property crime rate (per 100,000)",primary,100,0,pair_year,state,unemployment_rate;poverty_pct_all_ages;share_white_nh;share_black_nh;share_hispanic;share_male;share_age_15_24;share_age_25_44;share_bachelors_plus;imprisonment_rate;state_sworn_officers_per_100k;alcohol_per_capita_ethanol_gallons,0,-312.19135292608564,51.043150979876586,-6.116224154131177,18154,1824,99,3635,346
