g_cohort,n_states,n_counties,state_fips,states
2016,2,97,"06,53","CA,WA"
2018,4,77,"10,24,25,41","DE,MD,MA,OR"
2019,4,249,"08,17,34,36","CO,IL,NJ,NY"
2020,2,22,"15,32","HI,NV"
2023,1,14,50,VT
2024,2,170,"26,27","MI,MN"
