outcome,spec,control_rule,att_overall_post,se_overall_post,z,att_pretrends_avg,se_pretrends_avg,z_pretrends,n_post_cells,n_pre_cells
county_burglary_rate,or,broad,1.2906459900703058,7.150171092936194,0.1805056093476368,-9.397224055224868,4.161057300483447,-2.258374104613523,30,24
county_burglary_rate,or,strict,1.2906459900703058,7.150171092936194,0.1805056093476368,-9.397224055224868,4.161057300483447,-2.258374104613523,30,24
county_burglary_rate,ra,broad,18.556693476316337,3.7776087309078425,4.912285733693959,-18.55784053496181,1.924818760565873,-9.641344377538191,30,24
county_burglary_rate,ra,strict,18.556693476316337,3.7776087309078425,4.912285733693959,-18.55784053496181,1.924818760565873,-9.641344377538191,30,24
county_motor_vehicle_theft_rate,or,broad,-2.043573749961881,5.7623018318790304,-0.35464538470652995,-2.940883420000098,2.9621553414739012,-0.9928187690983085,30,24
county_motor_vehicle_theft_rate,or,strict,-2.043573749961881,5.7623018318790304,-0.35464538470652995,-2.940883420000098,2.9621553414739012,-0.9928187690983085,30,24
county_motor_vehicle_theft_rate,ra,broad,0.8281418572138294,2.898282787282279,0.28573535365414715,-1.9268706567220213,1.729362178815077,-1.1142088570725381,30,24
county_motor_vehicle_theft_rate,ra,strict,0.8281418572138294,2.898282787282279,0.28573535365414715,-1.9268706567220213,1.729362178815077,-1.1142088570725381,30,24
county_murder_rate,or,broad,-0.4522883785827274,0.10566741690179894,-4.28030126829974,1.6021343979748894,1.0277812037380418,1.5588282721535713,30,24
county_murder_rate,or,strict,-0.4522883785827274,0.10566741690179894,-4.28030126829974,1.6021343979748894,1.0277812037380418,1.5588282721535713,30,24
county_murder_rate,ra,broad,-0.5870765603433536,0.06476760730313293,-9.064354617820747,1.5052702930507802,0.5324292294220241,2.8271744109255965,30,24
county_murder_rate,ra,strict,-0.5870765603433536,0.06476760730313293,-9.064354617820747,1.5052702930507802,0.5324292294220241,2.8271744109255965,30,24
county_property_crime_rate,or,broad,-29.983317351519574,34.215298812615906,-0.8763131812972532,-22.91510268509508,17.89287994883457,-1.280682749262375,30,24
county_property_crime_rate,or,strict,-29.983317351519574,34.215298812615906,-0.8763131812972532,-22.91510268509508,17.89287994883457,-1.280682749262375,30,24
county_property_crime_rate,ra,broad,64.43065813408988,18.625137494871808,3.4593386573296456,-57.72321855495908,10.778826238556409,-5.355241589151905,30,24
county_property_crime_rate,ra,strict,64.43065813408988,18.625137494871808,3.4593386573296456,-57.72321855495908,10.778826238556409,-5.355241589151905,30,24
county_violent_crime_rate,or,broad,-17.377177314716224,6.3542232127943326,-2.7347445522100946,-7.987003856277353,3.99438618011229,-1.9995572526372056,30,24
county_violent_crime_rate,or,strict,-17.377177314716224,6.3542232127943326,-2.7347445522100946,-7.987003856277353,3.99438618011229,-1.9995572526372056,30,24
county_violent_crime_rate,ra,broad,-11.739159328299538,3.175519533638648,-3.6967681048550505,-4.04698652271872,2.4395951986210895,-1.6588762451271268,30,24
county_violent_crime_rate,ra,strict,-11.739159328299538,3.175519533638648,-3.6967681048550505,-4.04698652271872,2.4395951986210895,-1.6588762451271268,30,24
state_firearm_homicide_rate,or,broad,-0.5194390301164111,0.13007522028579913,-3.993374210515333,0.331307151167307,0.10047891324039157,3.297280399268139,24,23
state_firearm_homicide_rate,or,strict,-0.5194390301164111,0.13007522028579913,-3.993374210515333,0.331307151167307,0.10047891324039157,3.297280399268139,24,23
state_firearm_homicide_rate,ra,broad,-0.5723885877192914,0.06632878569508653,-8.629565304429995,0.28958994726141496,0.05068529964350472,5.71348989348484,24,23
state_firearm_homicide_rate,ra,strict,-0.5723885877192914,0.06632878569508653,-8.629565304429995,0.28958994726141496,0.05068529964350472,5.71348989348484,24,23
state_firearm_suicide_rate,or,broad,-0.3470622428908195,0.06210144441639122,-5.588633986735661,0.2563894441941966,0.0684230258137382,3.747122275652386,24,24
state_firearm_suicide_rate,or,strict,-0.3470622428908195,0.06210144441639122,-5.588633986735661,0.2563894441941966,0.0684230258137382,3.747122275652386,24,24
state_firearm_suicide_rate,ra,broad,-0.22570336840704341,0.033911799680910744,-6.655599836362971,0.3061760283334477,0.036684272100017935,8.3462478824351,24,24
state_firearm_suicide_rate,ra,strict,-0.22570336840704341,0.033911799680910744,-6.655599836362971,0.3061760283334477,0.036684272100017935,8.3462478824351,24,24
state_total_suicide_rate,or,broad,-0.29606221977967184,0.08727494393181112,-3.3922934400391997,0.23467845374806787,0.09410331765463902,2.4938382577471105,24,24
state_total_suicide_rate,or,strict,-0.29606221977967184,0.08727494393181112,-3.3922934400391997,0.23467845374806787,0.09410331765463902,2.4938382577471105,24,24
state_total_suicide_rate,ra,broad,-0.13999340604182003,0.045903322238470164,-3.049744532967504,0.23887891685303156,0.049425560797589994,4.833104834789844,24,24
state_total_suicide_rate,ra,strict,-0.13999340604182003,0.045903322238470164,-3.049744532967504,0.23887891685303156,0.049425560797589994,4.833104834789844,24,24
